MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06,competitive.district
14011,0.422,-0.287,1,0,0
14012,0.448,-0.767,1,0,0
14013,0.448,-0.959,1,0,0
14014,0.495,-0.278,1,0,0
14015,0.368,-1.402,1,0,1
14016,0.544,-0.595,1,0,0
14017,0.715,-0.837,1,0,0
14018,0.393,-1.043,1,0,1
14019,0.471,1.378,1,0,0
14020,0.446,0.162,1,0,0
14021,0.32,-1.031,1,0,1
14022,0.572,-1.118,1,0,0
14024,0.363,-1.059,1,0,1
14025,0.472,-1.172,1,0,0
14026,0.425,-0.67,1,0,0
14027,0.52,0.803,1,0,0
14028,0.594,-0.485,1,0,0
14029,0.138,0.048,1,0,1
14030,0.384,-1.441,1,0,1
14031,0.488,0.992,1,0,0
14032,0.224,-0.268,1,0,1
14033,0.379,-0.746,1,0,1
14034,0.484,-0.632,1,0,0
14035,0.385,-0.746,1,0,1
14036,0.328,-1.276,1,0,1
14037,0.353,-1.222,1,0,1
14038,0.332,-0.185,1,0,1
14039,0.33,-1.976,1,3,1
14040,0.321,-0.149,1,0,1
14041,0.36,-0.678,1,0,1
14042,0.478,-0.107,1,0,0
14043,0.407,-0.755,1,0,0
14044,0.276,-1.218,1,0,1
14045,0.27,-0.367,1,0,1
14046,0.35,-1.031,1,0,1
14047,0.326,-1.117,1,0,1
14048,0.547,-0.488,1,0,0
14049,0.332,0.399,1,0,1
14050,0.31,-0.993,1,0,1
14051,0.296,-1.39,1,0,1
14052,0.464,-0.609,1,0,0
14053,0.321,-0.964,1,0,1
14054,0.414,-0.834,1,0,0
14055,0.419,-1.138,1,0,0
14056,0.445,0.861,1,0,0
14057,0.418,-0.823,1,0,0
14058,0.397,-1.025,1,0,1
14059,0.209,-1.015,1,0,1
14060,0.426,-0.541,1,0,0
14061,0.461,2.612,1,0,0
14062,0.503,-0.423,1,0,0
14063,0.248,-1.438,1,0,1
14064,0.472,-0.325,1,0,0
14065,0.447,-0.522,1,0,0
14066,0.225,-0.762,1,0,1
14067,0.396,-1.724,1,1,1
14068,0.456,0.013,1,0,0
14069,0.365,0.017,1,0,1
14071,0.366,-0.037,1,0,1
14072,0.5,-0.5,1,0,0
14073,0.294,-1.026,1,0,1
14074,0.515,-1.324,1,0,0
14075,0.319,-0.738,1,0,1
14076,0.307,-0.191,1,0,1
14077,0.295,-1.024,1,0,1
14078,0.38,-1.086,1,0,1
14079,0.275,-0.659,1,0,1
14080,0.173,-0.102,1,0,1
14081,0.495,-0.289,1,0,0
14082,0.301,-1.296,1,0,1
14083,0.261,-1.219,1,0,1
14084,0.394,-0.532,1,0,1
14085,0.446,-0.949,1,0,0
14086,0.258,-0.226,1,0,1
14087,0.445,-0.625,1,0,0
14088,0.4,-0.974,1,0,0
14089,0.285,-0.65,1,0,1
14090,0.463,-0.715,1,0,0
14091,0.465,-0.741,1,0,0
14092,0.557,-0.483,1,0,0
14093,0.408,-1.338,1,0,0
14094,0.415,-0.954,1,0,0
14095,0.21,-0.941,1,0,1
14096,0.478,-0.879,1,0,0
14097,0.291,-1.39,1,0,1
14098,0.364,-1.592,1,0,1
14099,0.463,-0.003,1,0,0
14100,0.248,-0.301,1,0,1
14101,0.3,-1.44,1,0,1
14102,0.567,-0.667,1,0,0
14103,0.283,-0.79,1,0,1
14104,0.423,-0.533,1,0,0
14105,0.389,-0.81,1,0,1
14106,0.339,-0.175,1,0,1
14107,0.312,-0.717,1,0,1
14108,0.326,-1.097,1,0,1
14109,0.447,-0.467,1,0,0
14110,0.448,-1.179,1,0,0
14111,0.582,-0.851,1,0,0
14112,0.46,-0.738,1,0,0
14113,0.232,-0.418,1,0,1
14114,0.277,-1.037,1,0,1
14115,0.467,0.145,1,0,0
14116,0.308,-1.057,1,0,1
14117,0.397,-0.489,1,0,1
14118,0.623,-0.845,1,0,0
14119,0.328,-0.893,1,0,1
14120,0.361,-1.882,1,0,1
14121,0.353,-1.229,1,0,1
14122,0.447,0.272,1,0,0
14123,0.396,-0.431,1,0,1
14124,0.435,-0.919,1,0,0
15001,0.352,0.248,0,0,1
15002,0.086,-1.391,0,0,1
15003,0.166,0.121,0,0,1
15004,0.54,0.096,0,0,0
15005,0.124,-0.12,0,0,1
15006,0.187,-1.288,0,0,1
15007,0.076,0.35,0,0,1
15008,0.024,0.482,0,0,1
15009,0.097,-1.171,0,1,1
15010,0.407,-1.188,0,0,0
15011,0.068,-1.024,0,0,1
15012,0.258,-1.111,0,1,1
15013,0.346,-1.791,0,0,1
15014,0.264,-0.74,0,0,1
15015,0.143,-0.652,0,0,1
15016,0.31,-0.644,0,0,1
15017,0.148,-0.773,0,0,1
15018,0.297,-1.011,0,0,1
15019,0.172,-1.325,0,0,1
15020,0.172,-2.098,0,1,1
15021,0.356,-0.051,0,0,1
15022,0.23,-1.335,0,0,1
15023,0.219,-1.309,0,0,1
15024,0.236,-1.881,0,0,1
15025,0.066,-1.195,0,0,1
15026,0.362,-0.009,0,0,1
15027,0.181,-1.411,0,0,1
15028,0.078,-1.158,0,0,1
15029,0.052,-1.29,0,0,1
15030,0.151,-1.519,0,0,1
15031,0.077,-1.161,0,0,1
15032,0.049,0.701,0,0,1
15033,0.13,-1.606,0,0,1
15034,0.148,-0.372,0,0,1
15035,0.365,-1.452,0,0,1
15036,0.292,-0.826,0,0,1
15037,0.33,-1.622,0,0,1
15038,0.077,-0.552,0,0,1
15039,0.159,-1.59,0,0,1
15040,0.162,-0.566,0,0,1
15041,0.172,0.286,0,0,1
15042,0.258,-0.194,0,0,1
15043,0.172,-0.872,0,0,1
15044,0.203,-1.898,0,0,1
15045,0.14,-0.372,0,0,1
15046,0.177,-0.831,0,0,1
15047,0.083,-0.028,0,0,1
15048,0.338,-0.712,0,0,1
15049,0.123,-0.495,0,0,1
15050,0.11,-0.947,0,0,1
15051,0.183,-1.247,0,0,1
15052,0.285,-0.191,0,0,1
15053,0.2,-1.421,0,0,1
15054,0.268,-2,0,1,1
15055,0.207,-1.328,0,0,1
15056,0.066,0.48,0,0,1
15057,0.326,-1.688,0,5,1
15058,0.107,-1.721,0,1,1
15059,0.24,-1.064,0,0,1
15060,0.152,-1.426,0,0,1
15061,0.418,-0.746,0,0,0
15062,0.17,-1.317,0,0,1
15063,0.077,-0.082,0,0,1
15064,0.393,-0.26,0,0,1
15065,0.241,-0.765,0,0,1
15066,0.098,0.256,0,0,1
15067,0.116,-0.551,0,0,1
15068,0.126,-1.057,0,0,1
15069,0.229,-1.159,0,0,1
15070,0.065,-1.378,0,0,1
15071,0.153,-0.714,0,0,1
15072,0.152,-1.267,0,0,1
15073,0.217,-1.31,0,0,1
15074,0.358,0.603,0,0,1
15075,0.254,-1.067,0,1,1
15076,0.365,-1.323,0,0,1
15077,0.096,0.044,0,0,1
15078,0.104,-0.326,0,0,1
15079,0.492,-0.494,0,0,0
15080,0.448,0.787,0,1,0
15081,0.39,-1.676,0,1,1
15082,0.073,-0.101,0,0,1
15083,0.08,-1.172,0,0,1
15084,0.323,-0.882,0,0,1
15085,0.218,-0.091,0,0,1
15086,0.28,0.345,0,0,1
15087,0.182,0.061,0,0,1
15088,0.159,-0.82,0,0,1
15089,0.129,-1.08,0,0,1
15090,0.12,-0.901,0,0,1
15091,0.186,-1.455,0,1,1
15092,0.22,-1.25,0,0,1
15093,0.068,-1.005,0,0,1
15094,0.096,-0.877,0,0,1
15095,0.356,-1.478,0,0,1
15096,0.419,-1.321,0,0,0
15097,0.357,0.154,0,0,1
15098,0.184,-1.035,0,0,1
15099,0.066,-1.535,0,0,1
15100,0.081,-1.173,0,0,1
15101,0.267,-0.992,0,0,1
15102,0.371,-0.241,0,0,1
15103,0.127,-1.492,0,0,1
15104,0.349,-1.785,0,1,1
15105,0.01,0.59,0,0,1
15106,0.297,-1.641,0,3,1
15107,0.276,-0.891,0,0,1
15108,0.148,-1.642,0,0,1
15109,0.118,-1.759,0,1,1
15110,0.125,-0.807,0,1,1
15111,0.156,0.593,0,1,1
15112,0.231,-0.05,0,0,1
15113,0.229,-0.213,0,0,1
15114,0.297,0.839,0,0,1
15115,0.183,-1.044,0,0,1
15116,0.168,-0.396,0,0,1
15117,0.247,0.589,0,0,1
15118,0.336,-1.005,0,1,1
15119,0.327,0.465,0,0,1
15120,0.464,-1.301,0,0,0
15121,0.288,-1.981,0,2,1
15122,0.048,-1.238,0,1,1
15123,0.268,0.371,0,0,1
15124,0.261,0.955,0,0,1
15125,0.145,-1.311,0,0,1
16001,0.025,-0.062,0,0,1
16002,0.252,0.084,0,0,1
16003,0.091,-0.497,0,0,1
16004,0.195,-0.272,0,0,1
16005,0.015,-0.107,0,0,1
16006,0.369,-0.677,0,0,1
16007,0.02,0.198,0,0,1
16008,0.091,1.637,0,0,1
16009,0.515,-0.033,0,0,0
16010,0.091,0.293,0,0,1
16011,0.006,-0.546,0,0,1
16012,0.708,-0.257,0,0,0
16013,0.138,0.874,0,0,1
16014,0.139,-0.437,0,0,1
16015,0.23,0.172,0,0,1
16016,0.065,-0.108,0,0,1
16017,0.435,0.175,0,0,0
16018,0.041,-0.177,0,0,1
16019,0.266,-0.563,0,0,1
16020,0.401,-0.508,0,0,0
16021,0.062,0.573,0,0,1
16022,0.236,-0.175,0,1,1
16023,0.109,-0.645,0,0,1
16024,0.099,-0.266,0,0,1
16025,0.31,-0.036,0,1,1
16026,0.034,0.909,0,0,1
16027,0.032,0.205,0,0,1
16028,0.08,-0.577,0,0,1
16029,0.067,1.135,0,0,1
16030,0.05,-0.475,0,0,1
16031,0.299,0.332,0,0,1
16032,0.136,-0.121,0,0,1
16033,0.195,-0.253,0,0,1
16034,1.863,-0.42,0,1,0
16035,0.26,0.461,0,0,1
16036,0.08,-0.632,0,0,1
16037,0.013,-0.095,0,0,1
16038,0.054,0.17,0,0,1
16039,0.042,0.025,0,0,1
16040,0.161,-0.267,0,0,1
16041,0.041,-0.117,0,0,1
16042,0.186,-0.312,0,0,1
16043,0.162,-0.971,0,0,1
16044,0.084,-0.4,0,0,1
