date,time,year,month,doy,dow,death,cvd,resp,temp,dptp,rhum,pm10,o3
1/23/87,23,1987,1,23,Friday,107,47,7,-16.38888889,-12.25,50,47.95607373,16.04274573
1/24/87,24,1987,1,24,Saturday,123,72,8,-16.66666667,-5.625,53.25,30.95607373,11.7094124
1/25/87,25,1987,1,25,Sunday,107,43,8,-12.5,-5.25,47.125,NA,8.172889681
1/26/87,26,1987,1,26,Monday,116,67,12,-8.888888889,4.75,61.25,63.95607373,5.209412401
1/27/87,27,1987,1,27,Tuesday,130,73,7,-8.055555556,17.75,84.25,36.31814626,4.131223011
1/28/87,28,1987,1,28,Wednesday,114,55,9,-1.388888889,18.25,71.375,39.95607373,7.251079071
1/29/87,29,1987,1,29,Thursday,123,54,8,-1.388888889,32.875,96.5,27.95607373,3.900162411
1/30/87,30,1987,1,30,Friday,103,50,11,0.277777778,24.125,68.5,51.95607373,9.381223011
1/31/87,31,1987,1,31,Saturday,115,64,5,-2.5,26.5,76,28.95607373,8.721469941
2/1/87,32,1987,2,32,Sunday,127,70,6,5,32.25,79.25,NA,6.388136611
2/2/87,33,1987,2,33,Monday,131,58,14,2.5,34,71.75,40.2284865,4.013136611
2/3/87,34,1987,2,34,Tuesday,112,55,9,1.111111111,26.25,79.875,51.95607373,8.797889681
2/4/87,35,1987,2,35,Wednesday,126,61,6,-0.277777778,24.25,74.625,31.31939761,10.13467981
2/5/87,36,1987,2,36,Thursday,127,71,7,-1.388888889,27.25,84.75,62.95607373,4.801346481
2/6/87,37,1987,2,37,Friday,103,48,5,2.777777778,30.375,69.75,55.95607373,5.144643581
2/7/87,38,1987,2,38,Saturday,128,67,15,4.722222222,35.75,71.625,36.95607373,4.738846481
2/8/87,39,1987,2,39,Sunday,133,61,8,0.277777778,3.5,44.625,17.24003306,24.46801314
2/9/87,40,1987,2,40,Monday,115,57,7,-4.166666667,17.375,55.125,34.95607373,8.655513141
2/10/87,41,1987,2,41,Tuesday,124,53,11,1.666666667,27.375,74,28.95607373,7.468013141
2/11/87,42,1987,2,42,Wednesday,117,62,13,4.166666667,29.375,69.5,75.95607373,7.081896541
2/12/87,43,1987,2,43,Thursday,116,53,10,1.111111111,24.75,75.625,76.95607373,6.488846481
2/13/87,44,1987,2,44,Friday,128,70,11,1.388888889,30.875,71.625,31.95607373,9.726165321
2/14/87,45,1987,2,45,Saturday,119,60,11,-0.277777778,22,76.25,22.47215493,10.46801314
2/15/87,46,1987,2,46,Sunday,115,55,6,-4.722222222,10.125,58.5,4.956073737,27.63467981
2/16/87,47,1987,2,47,Monday,107,54,6,-4.444444444,18.125,66.5,6.956073737,23.71801314
2/17/87,48,1987,2,48,Tuesday,111,63,6,-0.277777778,20.25,63.125,15.95607374,24.46801314
2/18/87,49,1987,2,49,Wednesday,116,61,4,-0.277777778,20,63.625,19.95607374,23.700803
2/19/87,50,1987,2,50,Thursday,115,48,15,1.111111111,19.625,59.625,41.95607373,15.05315807
2/20/87,51,1987,2,51,Friday,124,58,6,0.277777778,17,41.5,67.48931288,7.759679811
2/21/87,52,1987,2,52,Saturday,119,65,6,3.333333333,24.5,50.75,51.95607373,3.113846481
2/22/87,53,1987,2,53,Sunday,126,66,12,1.944444444,25.125,67.375,38.95607373,10.17634648
2/23/87,54,1987,2,54,Monday,147,74,11,1.944444444,24.75,64.625,39.95607373,12.61384648
2/24/87,55,1987,2,55,Tuesday,118,58,12,-0.277777778,25.25,69.625,40.95607373,12.42634648
2/25/87,56,1987,2,56,Wednesday,138,74,7,1.388888889,21.875,52.875,40.95607373,16.71801314
2/26/87,57,1987,2,57,Thursday,119,61,10,2.222222222,18.5,45,27.20442696,15.61384648
2/27/87,58,1987,2,58,Friday,100,53,9,4.166666667,28.25,57.125,48.95607373,13.90551314
2/28/87,59,1987,2,59,Saturday,119,65,7,4.444444444,38.375,94.5,23.95607374,6.551346481
3/1/87,60,1987,3,60,Sunday,123,58,14,3.888888889,28.375,77.375,7.956073737,14.90134648
3/2/87,61,1987,3,61,Monday,125,64,6,5,27.875,55.375,28.95607373,20.34301314
3/3/87,62,1987,3,62,Tuesday,124,56,7,2.5,14.875,42.5,24.95607373,19.25967981
3/4/87,63,1987,3,63,Wednesday,113,51,8,3.333333333,26.75,46.125,38.49162794,5.113846481
3/5/87,64,1987,3,64,Thursday,125,66,9,6.666666667,34.375,71.875,22.95607374,13.32217981
3/6/87,65,1987,3,65,Friday,108,44,8,9.166666667,39.5,59.375,68.95607373,8.775078361
3/7/87,66,1987,3,66,Saturday,114,60,8,15.27777778,36.875,44.5,41.95607373,25.11384648
3/8/87,67,1987,3,67,Sunday,109,59,6,12.5,33.625,62.625,53.95607373,30.98884648
3/9/87,68,1987,3,68,Monday,126,57,7,-0.555555556,14,59.625,17.95607374,29.36384648
3/10/87,69,1987,3,69,Tuesday,113,59,5,-3.611111111,13.625,57.25,17.54051725,27.90551314
3/11/87,70,1987,3,70,Wednesday,112,62,9,-1.944444444,17,63.625,30.95607373,19.30134648
3/12/87,71,1987,3,71,Thursday,125,64,5,0.833333333,22.375,55.75,64.95607373,19.98884648
3/13/87,72,1987,3,72,Friday,128,72,9,1.111111111,33.125,88.75,39.95607373,22.00967981
3/14/87,73,1987,3,73,Saturday,106,50,7,2.777777778,33,97.125,41.95607373,17.48884648
3/15/87,74,1987,3,74,Sunday,113,52,10,1.666666667,24.5,60.75,NA,36.42634648
3/16/87,75,1987,3,75,Monday,117,68,6,3.055555556,17.875,41.875,24.88120038,35.90279575
3/17/87,76,1987,3,76,Tuesday,127,65,11,3.611111111,19.375,39.5,47.95607373,27.34301314
3/18/87,77,1987,3,77,Wednesday,120,62,13,4.166666667,30.25,66.625,55.95607373,19.83955635
3/19/87,78,1987,3,78,Thursday,121,56,10,5.277777778,26.125,59.375,24.95607373,31.20610838
3/20/87,79,1987,3,79,Friday,127,64,5,6.111111111,16.625,40.125,20.95607374,34.51313661
3/21/87,80,1987,3,80,Saturday,120,46,13,6.388888889,22.5,37,32.95607373,36.09646994
3/22/87,81,1987,3,81,Sunday,100,53,6,8.888888889,32.375,53.375,35.83169065,35.55480327
3/23/87,82,1987,3,82,Monday,125,63,6,11.94444444,35.25,41.625,62.95607373,30.98467981
3/24/87,83,1987,3,83,Tuesday,132,73,5,14.16666667,46.125,75,50.95607373,25.15551314
3/25/87,84,1987,3,84,Wednesday,134,67,9,7.222222222,40.125,90.125,6.956073737,14.40551314
3/26/87,85,1987,3,85,Thursday,107,63,6,7.222222222,40.25,86.625,35.95607373,14.64793739
3/27/87,86,1987,3,86,Friday,102,57,6,6.111111111,38.5,78.875,39.95607373,16.15551314
3/28/87,87,1987,3,87,Saturday,128,68,2,7.777777778,35,76.75,31.62733762,19.80134648
3/29/87,88,1987,3,88,Sunday,101,43,5,4.166666667,30.125,89.75,29.95607373,20.50273537
3/30/87,89,1987,3,89,Monday,125,66,13,-1.666666667,12.875,52.75,19.95607374,29.96801314
3/31/87,90,1987,3,90,Tuesday,106,53,3,-1.111111111,19,49.625,35.95607373,24.24875352
4/1/87,91,1987,4,91,Wednesday,119,57,7,5.277777778,22.875,58.125,28.95607373,21.60609615
4/2/87,92,1987,4,92,Thursday,91,48,9,-1.388888889,14.625,54.5,36.95607373,22.45803468
4/3/87,93,1987,4,93,Friday,120,53,9,-2.222222222,17.375,58,19.00942282,17.11088442
4/4/87,94,1987,4,94,Saturday,123,54,7,1.944444444,17.125,37.875,18.95607374,28.73730488
4/5/87,95,1987,4,95,Sunday,108,58,5,6.388888889,33,63.625,10.95607374,36.24641725
4/6/87,96,1987,4,96,Monday,117,56,10,10,21.25,30.375,11.95607374,32.11500563
4/7/87,97,1987,4,97,Tuesday,134,53,15,9.722222222,30.875,53.25,20.95607374,26.14949299
4/8/87,98,1987,4,98,Wednesday,120,61,6,4.444444444,31.375,74.25,11.95607374,21.92480488
4/9/87,99,1987,4,99,Thursday,120,55,8,10,28.5,31.25,76.34865035,16.05023076
4/10/87,100,1987,4,100,Friday,110,54,7,15.27777778,44.875,76.25,61.95607373,22.44458927
4/11/87,101,1987,4,101,Saturday,111,48,8,10.55555556,45.625,95,16.95607374,29.47506186
4/12/87,102,1987,4,102,Sunday,129,60,19,9.722222222,43.125,78.625,29.95607373,26.38083127
4/13/87,103,1987,4,103,Monday,93,53,8,8.888888889,47.25,76,39.95607373,18.5233411
4/14/87,104,1987,4,104,Tuesday,140,79,7,11.38888889,51.5,96,25.95607373,14.07096014
4/15/87,105,1987,4,105,Wednesday,106,54,11,10.83333333,50.125,96.875,29.39515317,17.81535508
4/16/87,106,1987,4,106,Thursday,110,51,7,12.22222222,49.25,85.75,19.25775155,22.80345032
4/17/87,107,1987,4,107,Friday,115,64,13,14.16666667,47,62.75,35.95607373,19.91059317
4/18/87,108,1987,4,108,Saturday,106,57,7,16.38888889,49.875,53,98.95607373,31.72910045
4/19/87,109,1987,4,109,Sunday,105,47,9,17.77777778,53,57,NA,32.95529092
4/20/87,110,1987,4,110,Monday,120,57,9,21.66666667,55.75,45.625,47.95607373,41.77172644
4/21/87,111,1987,4,111,Tuesday,97,44,10,13.33333333,39,83.375,34.51464215,20.98282632
4/22/87,112,1987,4,112,Wednesday,136,73,7,8.333333333,45.625,100,20.95607374,9.602617991
4/23/87,113,1987,4,113,Thursday,112,58,4,11.11111111,43.75,86.875,18.95607374,10.59129552
4/24/87,114,1987,4,114,Friday,108,43,10,9.444444444,30.75,51.875,8.956073737,28.22240966
4/25/87,115,1987,4,115,Saturday,130,61,7,10.55555556,32.5,43.5,22.95607374,27.46166438
4/26/87,116,1987,4,116,Sunday,102,48,6,13.88888889,33.875,38.75,50.95607373,32.79794735
4/27/87,117,1987,4,117,Monday,107,57,7,13.61111111,31.625,42.875,34.1289016,36.26845265
4/28/87,118,1987,4,118,Tuesday,118,61,4,11.94444444,28.625,28.875,64.95607373,22.73374835
4/29/87,119,1987,4,119,Wednesday,110,51,9,18.05555556,34.625,47.5,53.95607373,34.78165042
4/30/87,120,1987,4,120,Thursday,101,52,6,7.777777778,16.625,31.25,11.95607374,35.52344405
5/1/87,121,1987,5,121,Friday,117,56,5,11.94444444,39,54.5,58.95607373,20.30041958
5/2/87,122,1987,5,122,Saturday,123,61,11,11.66666667,47.375,87.25,22.95607374,25.38294787
5/3/87,123,1987,5,123,Sunday,110,56,6,7.222222222,35,71.5,18.00766293,27.89070321
5/4/87,124,1987,5,124,Monday,108,60,7,8.888888889,29.375,47.75,18.95607374,31.28946969
5/5/87,125,1987,5,125,Tuesday,134,67,11,10.27777778,32.625,53.625,52.95607373,23.42448572
5/6/87,126,1987,5,126,Wednesday,131,64,9,14.44444444,40.125,39.625,NA,32.00670208
5/7/87,127,1987,5,127,Thursday,126,67,9,15.27777778,40.875,51.25,33.95607373,30.25985709
5/8/87,128,1987,5,128,Friday,108,43,7,15,33.375,32.25,46.95607373,17.32413047
5/9/87,129,1987,5,129,Saturday,112,56,6,20.83333333,43.75,31.875,55.14429347,43.69163317
5/10/87,130,1987,5,130,Sunday,116,57,8,23.61111111,51.5,41.375,NA,44.11500292
5/11/87,131,1987,5,131,Monday,131,59,16,21.66666667,58,72.75,73.95607373,45.41727143
5/12/87,132,1987,5,132,Tuesday,123,63,2,10.83333333,32.75,54.25,4.956073737,25.87761071
5/13/87,133,1987,5,133,Wednesday,104,57,7,15,53,57.125,12.95607374,27.11950362
5/14/87,134,1987,5,134,Thursday,123,65,13,20.55555556,53.375,59.25,NA,39.65447488
5/15/87,135,1987,5,135,Friday,105,42,9,13.61111111,33.875,44.375,19.47401478,24.66411413
5/16/87,136,1987,5,136,Saturday,108,43,11,16.94444444,42.625,35.125,39.95607373,32.39654718
5/17/87,137,1987,5,137,Sunday,123,53,8,21.38888889,63.625,66,55.95607373,51.02073014
5/18/87,138,1987,5,138,Monday,134,62,12,19.16666667,57.625,94.5,NA,25.66828828
5/19/87,139,1987,5,139,Tuesday,101,48,12,19.72222222,61.125,85.625,34.95607373,26.90745107
5/20/87,140,1987,5,140,Wednesday,114,55,7,19.16666667,59.75,88.125,39.95607373,15.88621558
5/21/87,141,1987,5,141,Thursday,125,59,4,23.33333333,66.75,61,42.54821942,33.93743841
5/22/87,142,1987,5,142,Friday,111,52,8,16.38888889,49.75,76.25,NA,12.56112861
5/23/87,143,1987,5,143,Saturday,107,54,3,10.55555556,45.625,86.875,5.956073737,11.1120308
5/24/87,144,1987,5,144,Sunday,105,58,7,10.27777778,45.125,81,NA,19.76334654
5/25/87,145,1987,5,145,Monday,115,52,17,14.16666667,62.875,95.375,42.95607373,13.55946323
5/26/87,146,1987,5,146,Tuesday,106,52,6,22.77777778,67.625,68.625,20.95607374,30.11478894
5/27/87,147,1987,5,147,Wednesday,113,57,12,25.83333333,67.375,68.625,39.61521919,31.34718321
5/28/87,148,1987,5,148,Thursday,104,44,8,25.83333333,65.75,67.625,41.95607373,29.70668996
5/29/87,149,1987,5,149,Friday,106,54,7,25.83333333,67.125,71.125,42.95607373,26.89926655
5/30/87,150,1987,5,150,Saturday,115,62,10,24.44444444,65.625,79.5,27.95607373,22.5182808
5/31/87,151,1987,5,151,Sunday,102,54,4,24.44444444,60.125,57.75,24.95607373,32.18717961
6/1/87,152,1987,6,152,Monday,112,60,5,23.61111111,68.5,71.875,22.95607374,34.94622833
6/2/87,153,1987,6,153,Tuesday,111,57,7,22.22222222,64.75,95.25,31.31339216,18.96619746
6/3/87,154,1987,6,154,Wednesday,120,59,9,20.55555556,47.25,47.125,34.95607373,23.59269572
6/4/87,155,1987,6,155,Thursday,103,50,14,17.22222222,45,49.125,37.95607373,21.05210408
6/5/87,156,1987,6,156,Friday,98,43,8,21.11111111,54.875,61.625,53.95607373,33.2273013
6/6/87,157,1987,6,157,Saturday,101,46,8,21.66666667,54.625,48.5,49.95607373,43.91077385
6/7/87,158,1987,6,158,Sunday,102,45,8,25.27777778,58.125,45.75,38.95607373,51.02014885
6/8/87,159,1987,6,159,Monday,143,74,8,23.61111111,60.25,76.75,47.38155276,49.45629016
6/9/87,160,1987,6,160,Tuesday,88,30,7,14.16666667,41.125,56.5,7.956073737,30.25026292
6/10/87,161,1987,6,161,Wednesday,106,57,3,16.11111111,51,55.125,42.95607373,29.32521763
6/11/87,162,1987,6,162,Thursday,96,45,3,22.5,68.75,90.375,38.95607373,28.39439128
6/12/87,163,1987,6,163,Friday,117,58,13,26.66666667,62,54.125,33.95607373,29.43717511
6/13/87,164,1987,6,164,Saturday,97,49,6,25,62,50.25,65.95607373,40.17969405
6/14/87,165,1987,6,165,Sunday,146,63,11,28.33333333,68.5,54.125,40.56523337,46.01407632
6/15/87,166,1987,6,166,Monday,120,56,14,23.05555556,48.5,44.625,20.95607374,33.78227557
6/16/87,167,1987,6,167,Tuesday,109,49,6,23.88888889,52.875,47.5,38.95607373,33.27170794
6/17/87,168,1987,6,168,Wednesday,112,59,11,25,61,48,63.95607373,55.10332044
6/18/87,169,1987,6,169,Thursday,132,69,12,26.94444444,62.75,47.5,82.95607373,63.56613137
6/19/87,170,1987,6,170,Friday,106,55,4,25.27777778,61.375,48.625,72.95607373,47.98001498
6/20/87,171,1987,6,171,Saturday,122,51,8,25,73.625,99.625,57.23190003,46.48440391
6/21/87,172,1987,6,172,Sunday,112,51,6,24.44444444,71.125,82.625,34.95607373,33.50499931
6/22/87,173,1987,6,173,Monday,117,58,3,19.44444444,59,72.25,44.95607373,25.70344119
6/23/87,174,1987,6,174,Tuesday,100,45,7,22.5,57.75,56.625,41.95607373,33.02403966
6/24/87,175,1987,6,175,Wednesday,108,48,11,24.44444444,65.75,60,55.95607373,49.90836224
6/25/87,176,1987,6,176,Thursday,126,62,7,21.38888889,62,76.25,45.95607373,33.89353487
6/26/87,177,1987,6,177,Friday,105,49,5,20.55555556,50.75,51.375,27.59626623,20.92046074
6/27/87,178,1987,6,178,Saturday,111,55,7,18.05555556,48.25,54.375,28.95607373,22.13921074
6/28/87,179,1987,6,179,Sunday,122,51,5,22.22222222,53.625,44.625,26.95607373,31.97581037
6/29/87,180,1987,6,180,Monday,108,53,6,22.5,66,84.375,35.95607373,28.09861295
6/30/87,181,1987,6,181,Tuesday,106,47,11,21.38888889,63,81.875,35.95607373,19.29690391
7/1/87,182,1987,7,182,Wednesday,104,54,6,20.27777778,60.625,74.25,14.95607374,33.51334654
7/2/87,183,1987,7,183,Thursday,120,59,10,21.66666667,60.25,57.625,41.69230809,37.01944179
7/3/87,184,1987,7,184,Friday,112,47,6,25.27777778,60.375,61.25,40.95607373,43.37313017
7/4/87,185,1987,7,185,Saturday,101,45,4,22.5,59.5,65.25,16.95607374,32.69098028
7/5/87,186,1987,7,186,Sunday,114,58,3,22.5,69.125,91.625,NA,23.43575991
7/6/87,187,1987,7,187,Monday,113,57,8,26.66666667,69,64,25.93102111,32.1036933
7/7/87,188,1987,7,188,Tuesday,119,58,7,26.66666667,69.125,64.75,NA,34.61193817
7/8/87,189,1987,7,189,Wednesday,126,61,7,26.94444444,69.25,59.625,36.12167688,31.73807067
7/9/87,190,1987,7,190,Thursday,108,47,7,26.94444444,67.625,80.375,23.8033517,25.69862079
7/10/87,191,1987,7,191,Friday,95,50,6,26.66666667,67.625,87,25.65051258,23.92142314
7/11/87,192,1987,7,192,Saturday,125,59,10,26.66666667,73.5,65.125,71.58846396,29.36938453
7/12/87,193,1987,7,193,Sunday,119,61,9,26.38888889,65.5,67.25,39.59476192,29.9944056
7/13/87,194,1987,7,194,Monday,77,33,3,18.05555556,58.75,79.5,25.54381554,10.50767907
7/14/87,195,1987,7,195,Tuesday,113,64,4,19.44444444,53,58.375,19.94675805,22.41748711
7/15/87,196,1987,7,196,Wednesday,110,53,6,17.22222222,54.375,77.5,9.498862864,23.39991503
7/16/87,197,1987,7,197,Thursday,108,53,12,18.61111111,58.625,60.375,19.21134724,32.72556009
7/17/87,198,1987,7,198,Friday,102,46,5,25.55555556,67,59,31.53157813,42.94689718
7/18/87,199,1987,7,199,Saturday,110,52,8,26.38888889,68.375,61.375,43.52850454,48.12003263
7/19/87,200,1987,7,200,Sunday,129,60,7,29.16666667,73.625,64,64.57601114,47.34667826
7/20/87,201,1987,7,201,Monday,140,67,7,27.5,67.625,75.625,63.23613183,41.34875155
7/21/87,202,1987,7,202,Tuesday,105,57,7,27.22222222,71.25,68.75,50.54648561,58.98016147
7/22/87,203,1987,7,203,Wednesday,110,59,8,26.94444444,69.625,63.125,90.55914237,45.53731603
7/23/87,204,1987,7,204,Thursday,121,57,12,27.77777778,70,61.25,109.5497102,59.10817976
7/24/87,205,1987,7,205,Friday,110,65,8,28.33333333,71.25,64.75,73.19574124,35.64819283
7/25/87,206,1987,7,206,Saturday,115,65,9,29.16666667,71.125,66.5,45.67363784,43.61858692
7/26/87,207,1987,7,207,Sunday,105,60,3,25.83333333,66.25,82.125,28.61509942,27.7709553
7/27/87,208,1987,7,208,Monday,112,56,10,21.66666667,62.625,68.125,24.73232135,15.6824636
7/28/87,209,1987,7,209,Tuesday,109,63,3,22.5,63.25,65.125,31.30575702,20.26422922
7/29/87,210,1987,7,210,Wednesday,125,56,13,25.55555556,70.25,80,17.76402906,24.90261432
7/30/87,211,1987,7,211,Thursday,92,50,5,26.38888889,72.375,74.375,67.84088432,50.62855334
7/31/87,212,1987,7,212,Friday,110,44,7,26.94444444,75.75,80.5,40.83490947,38.6657006
8/1/87,213,1987,8,213,Saturday,113,41,10,30.55555556,75.25,64,55.31193451,39.70136722
8/2/87,214,1987,8,214,Sunday,115,57,10,30,73.875,73.5,38.92453212,46.91121213
8/3/87,215,1987,8,215,Monday,137,65,11,28.33333333,68.625,64.875,47.00923816,30.53911582
8/4/87,216,1987,8,216,Tuesday,112,52,12,23.88888889,60.625,69.25,14.0213487,21.71735149
8/5/87,217,1987,8,217,Wednesday,126,56,13,22.22222222,55.75,59.625,8.107946783,21.01236472
8/6/87,218,1987,8,218,Thursday,111,54,5,22.22222222,62.125,58,43.07518816,29.83245219
8/7/87,219,1987,8,219,Friday,95,37,7,26.38888889,67.375,66.625,49.09647603,45.49522503
8/8/87,220,1987,8,220,Saturday,113,59,2,23.05555556,73.625,96.25,49.24493738,23.71531139
8/9/87,221,1987,8,221,Sunday,107,59,4,22.5,64.125,78,22.28067405,26.68433652
8/10/87,222,1987,8,222,Monday,96,46,5,21.66666667,63.125,75.25,17.33985802,30.24611572
8/11/87,223,1987,8,223,Tuesday,98,44,8,23.61111111,61.875,65.125,34.34622902,34.15302061
8/12/87,224,1987,8,224,Wednesday,83,36,7,24.44444444,63.625,66,73.34622902,37.31319415
8/13/87,225,1987,8,225,Thursday,121,56,4,24.16666667,69.5,78.375,63.01544113,36.24813738
8/14/87,226,1987,8,226,Friday,107,50,8,23.33333333,74.625,82.375,44.24589798,24.4733949
8/15/87,227,1987,8,227,Saturday,115,47,10,26.38888889,75.875,76.75,34.61935402,33.27518069
8/16/87,228,1987,8,228,Sunday,125,63,11,26.66666667,73.875,80.375,36.26105974,32.17367474
8/17/87,229,1987,8,229,Monday,120,59,9,23.05555556,60.25,65.75,32.51284897,26.40397247
8/18/87,230,1987,8,230,Tuesday,102,42,4,20.83333333,64.25,79.125,41.45310055,14.2616524
8/19/87,231,1987,8,231,Wednesday,102,49,5,21.11111111,56.75,64,28.96710116,19.18811954
8/20/87,232,1987,8,232,Thursday,118,51,8,21.11111111,62.625,57,42.23800621,31.05781835
8/21/87,233,1987,8,233,Friday,118,51,8,24.44444444,72.5,70.75,36.15435841,37.89360553
8/22/87,234,1987,8,234,Saturday,107,52,8,21.94444444,54.625,70.75,25.1567182,24.09173472
8/23/87,235,1987,8,235,Sunday,107,54,8,17.22222222,49,61.75,17.24818186,17.88277719
8/24/87,236,1987,8,236,Monday,133,56,11,16.38888889,51.375,65.75,36.31689255,12.60469362
8/25/87,237,1987,8,237,Tuesday,107,53,10,15,58,98.75,34.52592143,7.176509542
8/26/87,238,1987,8,238,Wednesday,96,45,6,16.66666667,63.25,97,43.28104349,8.605950462
8/27/87,239,1987,8,239,Thursday,103,48,6,17.5,61.375,95.375,13.30214392,14.40921368
8/28/87,240,1987,8,240,Friday,117,56,10,17.5,54.625,82.125,25.31451719,22.5080781
8/29/87,241,1987,8,241,Saturday,100,53,10,18.61111111,57,67.625,NA,18.54661832
8/30/87,242,1987,8,242,Sunday,125,55,13,22.22222222,59.625,74.375,28.28416,23.07906684
8/31/87,243,1987,8,243,Monday,113,61,10,16.66666667,46.5,58.625,23.3425923,16.01636596
9/1/87,244,1987,9,244,Tuesday,112,60,12,17.77777778,49.5,48.5,30.42171112,18.2072972
9/2/87,245,1987,9,245,Wednesday,107,52,13,16.38888889,50.125,70.375,10.25718839,22.1901332
9/3/87,246,1987,9,246,Thursday,122,58,6,15.83333333,49.25,62.875,17.27851518,20.92405997
9/4/87,247,1987,9,247,Friday,115,54,8,20.55555556,59.125,61.875,NA,32.05220547
9/5/87,248,1987,9,248,Saturday,104,53,7,22.77777778,57.375,57.25,NA,46.20807939
9/6/87,249,1987,9,249,Sunday,118,59,4,23.88888889,66.25,77.25,61.07543339,38.29984745
9/7/87,250,1987,9,250,Monday,137,62,9,21.38888889,65.625,88.875,NA,23.27604398
9/8/87,251,1987,9,251,Tuesday,117,50,8,22.22222222,63.5,78.375,NA,25.80443156
9/9/87,252,1987,9,252,Wednesday,104,50,8,20.27777778,56.125,68.625,NA,19.16310191
9/10/87,253,1987,9,253,Thursday,105,51,7,19.72222222,57.75,67.375,NA,26.95985523
9/11/87,254,1987,9,254,Friday,109,48,8,20.55555556,57,61.375,NA,22.81678967
9/12/87,255,1987,9,255,Saturday,121,48,15,20,50.375,64.25,28.40050736,15.58861996
9/13/87,256,1987,9,256,Sunday,108,51,9,15,53.25,71.125,NA,12.12422966
9/14/87,257,1987,9,257,Monday,114,61,5,16.38888889,58,70.625,NA,19.05391332
9/15/87,258,1987,9,258,Tuesday,108,45,11,22.22222222,66,79.75,NA,15.85695629
9/16/87,259,1987,9,259,Wednesday,111,56,16,20.55555556,66.875,89.25,26.67089366,10.7048832
9/17/87,260,1987,9,260,Thursday,110,59,7,19.72222222,64.25,91.625,23.73908773,13.68665436
9/18/87,261,1987,9,261,Friday,107,49,8,17.5,60.375,94.125,24.16091139,7.100036959
9/19/87,262,1987,9,262,Saturday,107,57,8,16.11111111,50.25,78,NA,12.45841971
9/20/87,263,1987,9,263,Sunday,108,49,8,13.88888889,50.875,86,NA,7.373819756
9/21/87,264,1987,9,264,Monday,139,74,9,13.05555556,54.75,91.25,22.8116353,5.005353774
9/22/87,265,1987,9,265,Tuesday,130,59,10,16.11111111,52.5,85.375,NA,7.575220168
9/23/87,266,1987,9,266,Wednesday,111,61,10,17.22222222,51,60,31.88080075,13.42906086
9/24/87,267,1987,9,267,Thursday,112,64,6,15.27777778,46.25,71.5,21.67413088,16.99871602
9/25/87,268,1987,9,268,Friday,106,60,9,13.61111111,43,61.75,48.82009788,13.79909368
9/26/87,269,1987,9,269,Saturday,127,56,8,18.33333333,53.375,49,35.78367615,23.04841206
9/27/87,270,1987,9,270,Sunday,110,44,13,24.16666667,54,52.375,42.69914667,28.25791458
9/28/87,271,1987,9,271,Monday,120,60,7,20.55555556,61.125,78.875,50.73620016,30.26503357
9/29/87,272,1987,9,272,Tuesday,115,60,8,16.38888889,52.375,73.375,27.73012987,12.76461943
9/30/87,273,1987,9,273,Wednesday,120,61,12,12.77777778,35.625,56.75,23.98820938,11.43733108
