id,xspanish,complete_status,ppage,ppeduc,ppeducat,ppgender,ppethm,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,ppreg4,pprent,ppstaten,ppwork,Q1,Q2,Q3a,Q3b,Q4,QPID,POLIT200,ABCAGE,weights_pid
30011,English,qualified,41,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Approve,Very concerned,Yes,By July 1,Yes,A Republican,"Yes, registered to vote at my current address",30-49,1.2031
30012,English,qualified,59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Nebraska,Not working - retired,Disapprove,Very concerned,Yes,By the end of the year,No,An Independent,"Yes, registered to vote at my current address",50-64,.9993
30013,English,qualified,70,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of the year,No,A Democrat,"Yes, registered to vote at my current address",65+,.2819
30014,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro area,South,Rented for cash,Louisiana,Not working - retired,Approve,Not concerned at all,Yes,By May 1,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",50-64,.6895
30015,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Not working - retired,Disapprove,Somewhat concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.6995
30016,English,qualified,66,Master's degree,Bachelors degree or higher,Male,Hispanic,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Disapprove,Very concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.4785
30017,English,qualified,68,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Arkansas,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.8401
30018,English,qualified,69,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Not working - retired,Approve,Somewhat concerned,Yes,By the end of summer,No,A Republican,"Yes, registered to vote at my current address",65+,.5744
30019,English,qualified,71,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Not working - retired,Approve,Not concerned at all,Yes,By May 1,No,A Republican,"Yes, registered to vote at my current address",65+,.4
30020,English,qualified,59,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Working - as a paid employee,Approve,Somewhat concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.6733
30021,English,qualified,68,Associate degree,Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-metro area,West,Owned or being bought by you or someone in your household,Arizona,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.4568
30022,English,qualified,28,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Never married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Working - as a paid employee,Disapprove,Very concerned,Yes,By July 1,Yes,An Independent,"Yes, registered to vote at my current address",18-29,1.8474
30023,English,qualified,48,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",30-49,.8837
30024,English,qualified,71,"Some college, no degree",Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Disapprove,Very concerned,Yes,By July 1,Did not leave home in the past week,An Independent,"Yes, registered to vote at my current address",65+,.4803
30025,English,qualified,49,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Approve,Somewhat concerned,Yes,By June 1,No,A Democrat,"Yes, registered to vote at my current address",30-49,.7214
30026,English,qualified,63,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Not so concerned,Yes,Longer than that,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.561
30027,English,qualified,63,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Idaho,Not working - retired,Approve,Not so concerned,Yes,By May 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.6078
30028,English,qualified,55,Associate degree,Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Did not leave home in the past week,An Independent,"Yes, registered to vote at my current address",50-64,.7333
30029,English,qualified,56,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro area,West,Rented for cash,California,Not working - disabled,Disapprove,Very concerned,Yes,Longer than that,No,A Democrat,"Yes, registered to vote at my current address",50-64,.4204
30030,English,qualified,52,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - self-employed,Disapprove,Very concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.8454
30031,English,qualified,77,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Oklahoma,Not working - looking for work,Approve,Not so concerned,Yes,By May 1,No,A Republican,"Yes, registered to vote at my current address",65+,.4198
30032,English,qualified,61,Associate degree,Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Divorced,Metro area,West,Owned or being bought by you or someone in your household,Colorado,Working - as a paid employee,Approve,Somewhat concerned,Yes,By July 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.6329
30033,English,qualified,52,Associate degree,Some college,Male,"White, Non-Hispanic",3,A building with 2 or more apartments,"$20,000 to $24,999",Married,Metro area,NorthEast,Rented for cash,Massachusetts,Not working - looking for work,Approve,Not concerned at all,No, ,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.7142
30034,English,qualified,53,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house attached to one or more houses,"$250,000 or more",Married,Metro area,South,Owned or being bought by you or someone in your household,Virginia,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.8985
30035,English,qualified,57,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,No,An Independent,"Yes, registered to vote at my current address",50-64,.8837
30036,English,qualified,52,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A building with 2 or more apartments,"$15,000 to $19,999",Married,Metro area,West,Rented for cash,Oregon,Not working - disabled,Approve,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,1.5491
30037,English,qualified,68,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Disapprove,Very concerned,Yes,Longer than that,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",65+,.4823
30038,English,qualified,74,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"Other, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Not working - other,Disapprove,Somewhat concerned,Yes,By the end of summer,No,An Independent,"No, not registered to vote at my current address",65+,1.0043
30039,English,qualified,58,11th grade,Less than high school,Female,"2+ Races, Non-Hispanic",1,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro area,NorthEast,Rented for cash,New Jersey,Working - self-employed,Approve,Very concerned,Yes,By the end of the year,Did not leave home in the past week,An Independent,"Yes, registered to vote at my current address",50-64,1.8372
30040,English,qualified,75,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Not working - retired,Disapprove,Somewhat concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.3421
30041,English,qualified,75,7th or 8th grade,Less than high school,Female,"Other, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Not working - retired,Approve,Somewhat concerned,Yes,By July 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,1.1051
30042,English,qualified,86,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Non-metro area,West,Owned or being bought by you or someone in your household,Washington,Not working - retired,Approve,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.5561
30043,English,qualified,67,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Working - as a paid employee,Approve,Somewhat concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",65+,.9458
30044,English,qualified,26,Associate degree,Some college,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Virginia,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,No,An Independent,Not sure,18-29,1.0307
30045,English,qualified,63,"Some college, no degree",Some college,Male,"White, Non-Hispanic",2,A building with 2 or more apartments,"$200,000 to $249,999",Married,Metro area,NorthEast,Rented for cash,Massachusetts,Working - as a paid employee,Approve,Not so concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.6505
30046,English,qualified,45,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$15,000 to $19,999",Never married,Non-metro area,South,Owned or being bought by you or someone in your household,South Carolina,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By July 1,No,An Independent,"Yes, registered to vote at my current address",30-49,1.14
30047,English,qualified,80,Bachelor's degree,Bachelors degree or higher,Female,"Black, Non-Hispanic",2,A one-family house attached to one or more houses,"$75,000 to $84,999",Divorced,Metro area,South,Rented for cash,Texas,Not working - retired,Disapprove,Very concerned,Yes,Longer than that,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.7638
30048,English,qualified,68,Associate degree,Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Working - as a paid employee,Approve,Not so concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",65+,.4252
30049,English,qualified,75,Bachelor's degree,Bachelors degree or higher,Male,"Other, Non-Hispanic",2,A one-family house detached from any other house,"$12,500 to $14,999",Divorced,Metro area,West,Rented for cash,California,Not working - retired,Disapprove,Somewhat concerned,Yes,Longer than that,Yes,An Independent,"Yes, registered to vote at my current address",65+,.5267
30050,English,qualified,87,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Indiana,Not working - retired,Approve,Somewhat concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",65+,.9615
30051,English,qualified,77,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A building with 2 or more apartments,"$35,000 to $39,999",Married,Metro area,NorthEast,Rented for cash,Pennsylvania,Not working - retired,Disapprove,Somewhat concerned,Yes,By July 1,No,An Independent,"Yes, registered to vote at my current address",65+,.8943
30052,English,qualified,50,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Working - self-employed,Skipped,Not so concerned,Yes,By June 1,No,An Independent,"Yes, registered to vote at my current address",50-64,.792
30053,English,qualified,48,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A building with 2 or more apartments,"$100,000 to $124,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Working - as a paid employee,Disapprove,Very concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.3856
30054,English,qualified,75,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.8671
30055,English,qualified,62,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,Metro area,NorthEast,Occupied without payment of cash rent,New York,Working - as a paid employee,Approve,Very concerned,Yes,By the end of the year,Yes,An Independent,"No, not registered to vote at my current address",50-64,.5507
30056,English,qualified,73,Associate degree,Some college,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Not working - retired,Approve,Very concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.4997
30057,English,qualified,63,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Approve,Not so concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.584
30058,English,qualified,68,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"Black, Non-Hispanic",3,A one-family house attached to one or more houses,"$85,000 to $99,999",Widowed,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Not working - retired,Disapprove,Somewhat concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",65+,1.2957
30059,English,qualified,74,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Not working - retired,Approve,Not so concerned,No, ,No,A Republican,"Yes, registered to vote at my current address",65+,.6423
30060,English,qualified,46,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",6 or more,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Washington,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",30-49,.6688
30061,English,qualified,51,"Some college, no degree",Some college,Female,"White, Non-Hispanic",6 or more,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Not working - other,Disapprove,Very concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",50-64,1.0872
30062,English,qualified,64,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Very concerned,Yes,By June 1,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.4177
30063,English,qualified,75,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,South,Owned or being bought by you or someone in your household,West Virginia,Working - as a paid employee,Disapprove,Very concerned,Yes,By June 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.4384
30064,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-metro area,South,Owned or being bought by you or someone in your household,North Carolina,Not working - retired,Approve,Not so concerned,Yes,By May 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.783
30065,English,qualified,81,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Did not leave home in the past week,A Republican,"Yes, registered to vote at my current address",65+,1.0685
30066,English,qualified,77,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Idaho,Not working - retired,Disapprove,Very concerned,Yes,By July 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.7027
30067,English,qualified,76,Associate degree,Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Not working - retired,Disapprove,Very concerned,Yes,By July 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.4252
30068,English,qualified,60,Master's degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",6 or more,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New York,Not working - retired,Disapprove,Very concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",50-64,1.2247
30069,English,qualified,71,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A one-family house detached from any other house,"$15,000 to $19,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Approve,Very concerned,Yes,Longer than that,Did not leave home in the past week,A Republican,"Yes, registered to vote at my current address",65+,1.169
30070,English,qualified,62,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A one-family house detached from any other house,"$40,000 to $49,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Texas,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.7293
30071,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$85,000 to $99,999",Separated,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Disapprove,Not so concerned,Yes,By July 1,No,A Republican,"Yes, registered to vote at my current address",50-64,.7913
30072,English,qualified,71,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - retired,Disapprove,Not concerned at all,Yes,By the end of summer,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",65+,.357
30073,English,qualified,72,Associate degree,Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Missouri,Not working - retired,Disapprove,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.6372
30074,English,qualified,64,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.4312
30075,English,qualified,74,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A mobile home,"$50,000 to $59,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Not working - retired,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.6569
30076,English,qualified,42,Master's degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",1,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro area,South,Rented for cash,Georgia,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,No,A Democrat,"Yes, registered to vote at my current address",30-49,1.7711
30077,English,qualified,47,Master's degree,Bachelors degree or higher,Female,"2+ Races, Non-Hispanic",3,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Working - as a paid employee,Disapprove,Very concerned,Yes,Longer than that,Yes,Something else,"Yes, registered to vote at my current address",30-49,1.2299
30078,English,qualified,86,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$20,000 to $24,999",Widowed,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Not working - retired,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.761
30079,English,qualified,57,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - other,Disapprove,Somewhat concerned,Yes,By the end of summer,No,An Independent,"Yes, registered to vote at my current address",50-64,.83
30080,English,qualified,52,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house attached to one or more houses,"$85,000 to $99,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,Virginia,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.323
30081,English,qualified,56,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro area,NorthEast,Rented for cash,New York,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.3753
