"","year","country","countryNUM","ccodeiso","incDiocese","decDiocese","sumDiocese","state3","polity2","cathpct","cathpop","propenpt","jewpct","nonCathVsChristian","gdp","gdpChange","nonCathVsCath","hogCatholic","hogrel","hogideo","cathPreferredReligion","cathCompositeScore","cathReligiousEducationCompositeScore","cathFinancialCompositeScore","cathRegulatoryBurdenCompositeScore","cathFreeExerciseCompositeScore","incDiocese_lag","decDiocese_lag","sumDiocese_lag","state3_lag","polity2_lag","cathpct_lag","cathpop_lag","propenpt_lag","jewpct_lag","nonCathVsChristian_lag","gdp_lag","gdpChange_lag","nonCathVsCath_lag","hogCatholic_lag","hogrel_lag","hogideo_lag","cathPreferredReligion_lag","cathCompositeScore_lag","cathReligiousEducationCompositeScore_lag","cathFinancialCompositeScore_lag","cathRegulatoryBurdenCompositeScore_lag","cathFreeExerciseCompositeScore_lag","anyDiocese"
"13",1912,"Argentina",1,"ARG",0,0,0,"None",2,98.04224,7027322,1.053191,1.367255,0,3903.622867,4.20357228051451,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.16763,6805822,1.029878,1.226046,0,3746.150714,-1.97711930816612,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"14",1913,"Argentina",1,"ARG",0,0,0,"None",2,97.91686,7252361,1.076438,1.381582,0,3797.243378,-2.7251477057197,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",2,98.04224,7027322,1.053191,1.367255,0,3903.622867,4.20357228051451,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"15",1914,"Argentina",1,"ARG",0,0,0,"None",2,97.79148,7480703,1.099711,1.433452,0,3302.223462,-13.0362967743386,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.91686,7252361,1.076438,1.381582,0,3797.243378,-2.7251477057197,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"16",1915,"Argentina",1,"ARG",0,0,0,"None",2,97.6661,7712112,1.122979,1.485321,0,3243.723181,-1.77154216464107,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.79148,7480703,1.099711,1.433452,0,3302.223462,-13.0362967743386,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"17",1916,"Argentina",1,"ARG",0,0,0,"None",2,97.54071,7946353,1.146243,1.537198,0,3091.145833,-4.70377216199325,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.6661,7712112,1.122979,1.485321,0,3243.723181,-1.77154216464107,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"18",1917,"Argentina",1,"ARG",0,0,0,"None",2,97.41534,8183195,1.169516,1.589071,0,2790.122292,-9.73825103255813,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.54071,7946353,1.146243,1.537198,0,3091.145833,-4.70377216199325,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"19",1918,"Argentina",1,"ARG",0,0,0,"None",2,97.28994,8422403,1.19279,1.640936,0,3247.876144,16.406228978296,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.41534,8183195,1.169516,1.589071,0,2790.122292,-9.73825103255813,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"20",1919,"Argentina",1,"ARG",0,0,0,"None",2,97.16457,8663749,1.216073,1.692814,0,3307.486119,1.83535246903184,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.28994,8422403,1.19279,1.640936,0,3247.876144,16.406228978296,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"21",1920,"Argentina",1,"ARG",0,0,0,"None",2,97.01481,8904763,1.239317,1.634206,0,3473.068669,5.00629614282593,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.16457,8663749,1.216073,1.692814,0,3307.486119,1.83535246903184,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"22",1921,"Argentina",1,"ARG",0,0,0,"None",2,96.90742,9151327,1.2626,1.711275,0,3471.127329,-0.0558969656237585,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,97.01481,8904763,1.239317,1.634206,0,3473.068669,5.00629614282593,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"23",1922,"Argentina",1,"ARG",0,0,0,"None",2,96.77564,9397070,1.28587,1.729735,0,3635.640028,4.73946022162761,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.90742,9151327,1.2626,1.711275,0,3471.127329,-0.0558969656237585,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"24",1923,"Argentina",1,"ARG",0,0,0,"None",2,96.64387,9644001,1.309132,1.748198,0,3897.858787,7.21245109473199,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.77564,9397070,1.28587,1.729735,0,3635.640028,4.73946022162761,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"25",1924,"Argentina",1,"ARG",0,0,0,"None",2,96.5121,9891898,1.332451,1.766652,0,4055.262175,4.0382013972637,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.64387,9644001,1.309132,1.748198,0,3897.858787,7.21245109473199,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"26",1925,"Argentina",1,"ARG",0,0,0,"None",2,96.38034,10140534,1.357732,1.785119,0,3919.409547,-3.35003317017351,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.5121,9891898,1.332451,1.766652,0,4055.262175,4.0382013972637,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"27",1926,"Argentina",1,"ARG",0,0,0,"None",2,96.24857,10389684,1.383001,1.803581,0,3994.01844,1.90357481414789,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.38034,10140534,1.357732,1.785119,0,3919.409547,-3.35003317017351,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"28",1927,"Argentina",1,"ARG",0,0,0,"None",2,96.11679,10639130,1.408271,1.822041,0,4155.636662,4.0465066555877,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.24857,10389684,1.383001,1.803581,0,3994.01844,1.90357481414789,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"29",1928,"Argentina",1,"ARG",0,0,0,"None",2,95.98502,10888649,1.433554,1.840497,0,4291.301697,3.26460290045443,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,96.11679,10639130,1.408271,1.822041,0,4155.636662,4.0465066555877,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"30",1929,"Argentina",1,"ARG",0,0,0,"None",2,95.85325,11138020,1.458829,1.858963,0,4367.067703,1.76557164584739,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0,0,0,"None",2,95.98502,10888649,1.433554,1.840497,0,4291.301697,3.26460290045443,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"31",1930,"Argentina",1,"ARG",0,0,0,"None",-8,95.72148,11387027,1.484087,1.877421,0,4079.581957,-6.58303844940413,0,"Non-Christian","0","C",1,2.75,1,4,1.5,3,0,0,0,"None",2,95.85325,11138020,1.458829,1.858963,0,4367.067703,1.76557164584739,0,"Non-Christian","0","C",1,2.75,2,4,1.5,3,0
"32",1931,"Argentina",1,"ARG",0,0,0,"None",-8,95.58971,11635452,1.509372,1.895881,0,3711.655441,-9.01873083757243,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,95.72148,11387027,1.484087,1.877421,0,4079.581957,-6.58303844940413,0,"Non-Christian","0","C",1,2.75,1,4,1.5,3,0
"33",1932,"Argentina",1,"ARG",0,0,0,"None",-8,95.45794,11883079,1.534643,1.914344,0,3521.821986,-5.11452256324889,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,95.58971,11635452,1.509372,1.895881,0,3711.655441,-9.01873083757243,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"34",1933,"Argentina",1,"ARG",0,0,0,"None",-8,95.32617,12129692,1.559923,1.932805,0,3621.314863,2.82503991955032,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,95.45794,11883079,1.534643,1.914344,0,3521.821986,-5.11452256324889,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"35",1934,"Argentina",1,"ARG",16,0,16,"Increase",-8,95.1944,12375078,1.585202,1.951261,0,3844.818097,6.17188072441852,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,95.32617,12129692,1.559923,1.932805,0,3621.314863,2.82503991955032,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"36",1935,"Argentina",1,"ARG",0,0,0,"None",-8,95.06262,12619023,1.610472,1.969726,0,3950.009064,2.73591531110606,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,16,0,16,"Increase",-8,95.1944,12375078,1.585202,1.951261,0,3844.818097,6.17188072441852,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"37",1936,"Argentina",1,"ARG",0,0,0,"None",-8,94.93085,12861318,1.635758,1.988184,0,3911.963942,-0.963165435409741,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,95.06262,12619023,1.610472,1.969726,0,3950.009064,2.73591531110606,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"38",1937,"Argentina",1,"ARG",0,0,0,"None",5,94.79909,13101753,1.661027,2.00665,0,4125.313665,5.45377529453721,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",-8,94.93085,12861318,1.635758,1.988184,0,3911.963942,-0.963165435409741,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"39",1938,"Argentina",1,"ARG",0,0,0,"None",5,94.66731,13340116,1.686305,2.025111,0,4071.915168,-1.29441059120046,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",5,94.79909,13101753,1.661027,2.00665,0,4125.313665,5.45377529453721,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"40",1939,"Argentina",1,"ARG",1,0,1,"Increase",5,94.53555,13576203,1.711579,2.043569,0,4147.909463,1.86630349269594,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",5,94.66731,13340116,1.686305,2.025111,0,4071.915168,-1.29441059120046,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"41",1940,"Argentina",1,"ARG",0,0,0,"None",5,94.40377,13809804,1.736849,2.062031,0,4161.43383,0.326052608443828,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,1,0,1,"Increase",5,94.53555,13576203,1.711579,2.043569,0,4147.909463,1.86630349269594,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"42",1941,"Argentina",1,"ARG",0,0,0,"None",5,94.272,14040715,1.762132,2.080492,0,4303.959694,3.42492202981874,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",5,94.40377,13809804,1.736849,2.062031,0,4161.43383,0.326052608443828,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"43",1942,"Argentina",1,"ARG",0,0,0,"None",5,94.14023,14268733,1.787405,2.098953,0,4284.201059,-0.459080391192901,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0,0,0,"None",5,94.272,14040715,1.762132,2.080492,0,4303.959694,3.42492202981874,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"44",1943,"Argentina",1,"ARG",0,0,0,"None",-8,94.00846,14493654,1.81268,2.117414,0,4182.167772,-2.38161761305891,0,"Non-Christian","0",NA,1,2.75,2,4,2.3333,3,0,0,0,"None",5,94.14023,14268733,1.787405,2.098953,0,4284.201059,-0.459080391192901,0,"Non-Christian","0","R",1,2.75,1,4,1.5,3,0
"48",1947,"Argentina",1,"ARG",1,0,1,"Increase",-9,92.09707,15130913,1.879629,2.126261,0,5089.47231,9.09515159214547,0,"Non-Christian","0","L",1,2.75,1,4,1.5,3,0,0,0,"None",-8,93.61314,15147819,1.88852,2.172793,0,4665.168191,7.0922848257039,0,"Non-Christian","0","L",1,2.75,1,4,1.5,3,0
"49",1948,"Argentina",1,"ARG",0,0,0,"None",-9,93.46742,15584420,1.931924,2.182109,0,5251.776208,3.18901230056992,0,"Non-Christian","0","L",1,2.75,1,4,1.5,3,1,0,1,"Increase",-9,92.09707,15130913,1.879629,2.126261,0,5089.47231,9.09515159214547,0,"Non-Christian","0","L",1,2.75,1,4,1.5,3,0
"50",1949,"Argentina",1,"ARG",0,0,0,"None",-9,93.45348,15806773,1.950904,2.172968,0,5047.398128,-3.89159918293305,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0,0,0,"None",-9,93.46742,15584420,1.931924,2.182109,0,5251.776208,3.18901230056992,0,"Non-Christian","0","L",1,2.75,1,4,1.5,3,0
"51",1950,"Argentina",1,"ARG",0,0,0,"None",-9,93.43952,16025191,1.967005,2.163824,0,4986.724458,-1.20207814920361,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0,0,0,"None",-9,93.45348,15806773,1.950904,2.172968,0,5047.398128,-3.89159918293305,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0
"52",1951,"Argentina",1,"ARG",0,0,0,"None",-9,93.42558,16355749,2.07048,2.154682,0,5073.029915,1.73070434765137,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0,0,0,"None",-9,93.43952,16025191,1.967005,2.163824,0,4986.724458,-1.20207814920361,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0
"53",1952,"Argentina",1,"ARG",0,0,0,"None",-9,93.41163,16688828,2.173951,2.145534,0,4717.413859,-7.00993414110391,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0,0,0,"None",-9,93.42558,16355749,2.07048,2.154682,0,5073.029915,1.73070434765137,0,"Non-Christian","0","L",1,3.5,1,4,1.5,2,0
"54",1953,"Argentina",1,"ARG",0,0,0,"None",-9,93.39767,17021270,2.277433,2.136392,0,4874.493824,3.32978978938467,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0,0,0,"None",-9,93.41163,16688828,2.173951,2.145534,0,4717.413859,-7.00993414110391,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0
"55",1954,"Argentina",1,"ARG",0,0,0,"None",-9,93.38373,17350771,2.38091,2.127246,0,4979.828648,2.1609387108334,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0,0,0,"None",-9,93.39767,17021270,2.277433,2.136392,0,4874.493824,3.32978978938467,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0
"56",1955,"Argentina",1,"ARG",0,0,0,"None",-6,93.36978,17675875,2.48438,2.118103,0,5237.000075,5.16426257163056,0,"Non-Christian","0","L",1,2.3333,1,2.5,1.5,2,0,0,0,"None",-9,93.38373,17350771,2.38091,2.127246,0,4979.828648,2.1609387108334,0,"Non-Christian","0","L",1,2.3333,1,4,1.5,2,0
"57",1956,"Argentina",1,"ARG",0,0,0,"None",-3,93.35583,17996013,2.587847,2.10896,0,5285.31468,0.92256261806527,0,"Non-Christian","0","R",1,2.3333,1,2.5,1.5,2,0,0,0,"None",-6,93.36978,17675875,2.48438,2.118103,0,5237.000075,5.16426257163056,0,"Non-Christian","0","L",1,2.3333,1,2.5,1.5,2,0
"58",1957,"Argentina",1,"ARG",15,0,15,"Increase",-1,93.34188,18311462,2.691329,2.099816,0,5460.686494,3.31809598137303,0,"Non-Christian","0","R",1,3.5,1,2.5,1.5,2,0,0,0,"None",-3,93.35583,17996013,2.587847,2.10896,0,5285.31468,0.92256261806527,0,"Non-Christian","0","R",1,2.3333,1,2.5,1.5,2,0
"59",1958,"Argentina",1,"ARG",0,0,0,"None",-1,93.32793,18623249,2.794794,2.090667,0,5697.980988,4.34550663658737,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,15,0,15,"Increase",-1,93.34188,18311462,2.691329,2.099816,0,5460.686494,3.31809598137303,0,"Non-Christian","0","R",1,3.5,1,2.5,1.5,2,0
"60",1959,"Argentina",1,"ARG",1,0,1,"Increase",-1,93.31399,18932955,2.898261,2.081523,0,5241.468063,-8.01183657792858,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0,0,0,"None",-1,93.32793,18623249,2.794794,2.090667,0,5697.980988,4.34550663658737,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"61",1960,"Argentina",1,"ARG",0,0,0,"None",-1,93.3,19242190,3.002187,2.072382,0,5559.465947,6.06696215979594,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,1,0,1,"Increase",-1,93.31399,18932955,2.898261,2.081523,0,5241.468063,-8.01183657792858,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"62",1961,"Argentina",1,"ARG",12,0,12,"Increase",-1,92.91577,19474441,3.057515,2.063238,0,5861.841649,5.43893433079068,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0,0,0,"None",-1,93.3,19242190,3.002187,2.072382,0,5559.465947,6.06696215979594,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"63",1962,"Argentina",1,"ARG",0,0,0,"None",-1,92.53151,19704854,3.112839,2.054093,0,5677.233225,-3.14932465006954,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,12,0,12,"Increase",-1,92.91577,19474441,3.057515,2.063238,0,5861.841649,5.43893433079068,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"64",1963,"Argentina",1,"ARG",5,0,5,"Increase",-1,92.14725,19932237,3.168174,2.044949,0,5455.440482,-3.90670480161576,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0,0,0,"None",-1,92.53151,19704854,3.112839,2.054093,0,5677.233225,-3.14932465006954,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"65",1964,"Argentina",1,"ARG",0,0,0,"None",-1,91.76299,20154779,3.223491,2.035804,0,5926.126658,8.6278308333307,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,5,0,5,"Increase",-1,92.14725,19932237,3.168174,2.044949,0,5455.440482,-3.90670480161576,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"66",1965,"Argentina",1,"ARG",0,0,0,"None",-1,91.37872,20371806,3.278819,2.026661,0,6370.747338,7.50271983133843,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0,0,0,"None",-1,91.76299,20154779,3.223491,2.035804,0,5926.126658,8.6278308333307,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"67",1966,"Argentina",1,"ARG",0,0,0,"None",-9,90.99446,20581935,3.347579,2.017518,0,6320.604235,-0.787083529445731,0,"Non-Christian","0",NA,1,3.5,1,2.5,2,2,0,0,0,"None",-1,91.37872,20371806,3.278819,2.026661,0,6370.747338,7.50271983133843,0,"Non-Christian","0","C",1,3.5,1,2.5,1.5,2,0
"69",1968,"Argentina",1,"ARG",1,0,1,"Increase",-9,90.35191,21024257,3.485128,1.999226,0,6577.756622,2.79428323587532,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0,0,0,"None",-9,90.61021,20787319,3.416363,2.008371,0,6398.951785,1.23955791388037,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"70",1969,"Argentina",1,"ARG",3,0,3,"Increase",-9,89.96722,21243666,3.553905,1.990084,0,7037.280383,6.98602559211563,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,1,0,1,"Increase",-9,90.35191,21024257,3.485128,1.999226,0,6577.756622,2.79428323587532,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"71",1970,"Argentina",1,"ARG",0,0,0,"None",-9,89.58253,21480576,3.623583,1.980939,0,7301.966217,3.76119494456131,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,3,0,3,"Increase",-9,89.96722,21243666,3.553905,1.990084,0,7037.280383,6.98602559211563,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"72",1971,"Argentina",1,"ARG",0,0,0,"None",-9,89.22897,21745688,3.808202,1.93296,0,7529.937018,3.12204677788364,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0,0,0,"None",-9,89.58253,21480576,3.623583,1.980939,0,7301.966217,3.76119494456131,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"73",1972,"Argentina",1,"ARG",0,0,0,"None",-9,88.8754,22028505,3.992822,1.88498,0,7634.565559,1.38950087829275,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0,0,0,"None",-9,89.22897,21745688,3.808202,1.93296,0,7529.937018,3.12204677788364,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"74",1973,"Argentina",1,"ARG",0,0,0,"None",6,88.52184,22321071,4.177439,1.837002,0,7961.973879,4.2884996856702,0,"Non-Christian","0","R",1,3.5,NA,2.5,2,2,0,0,0,"None",-9,88.8754,22028505,3.992822,1.88498,0,7634.565559,1.38950087829275,0,"Non-Christian","0","R",1,3.5,1,2.5,2,2,0
"85",1984,"Argentina",1,"ARG",1,0,1,"Increase",8,84.6326,25293776,6.320111,1.30923,0,7425.854256,0.525254138908315,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0,0,0,"None",8,84.98617,25016022,6.118537,1.357213,0,7387.053452,1.95008317448402,0,"Non-Christian","0","R",1,3.5,2,3,2.6667,2.25,0
"86",1985,"Argentina",1,"ARG",0,0,0,"None",8,84.27904,25570612,6.521673,1.261252,0,6834.930882,-7.95764842169561,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,1,0,1,"Increase",8,84.6326,25293776,6.320111,1.30923,0,7425.854256,0.525254138908315,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0
"87",1986,"Argentina",1,"ARG",2,0,2,"Increase",8,83.92547,25846091,6.723242,1.213275,0,7223.791941,5.68931955148337,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0,0,0,"None",8,84.27904,25570612,6.521673,1.261252,0,6834.930882,-7.95764842169561,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0
"88",1987,"Argentina",1,"ARG",0,0,0,"None",8,83.5719,26120042,6.92481,1.165295,0,7297.928854,1.02628804380731,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,2,0,2,"Increase",8,83.92547,25846091,6.723242,1.213275,0,7223.791941,5.68931955148337,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0
"89",1988,"Argentina",1,"ARG",0,0,0,"None",8,83.21834,26391153,7.126382,1.117316,0,7054.363064,-3.33746457210941,0,"Non-Christian","0","C",1,3.5,2,3,2.5,2.25,0,0,0,"None",8,83.5719,26120042,6.92481,1.165295,0,7297.928854,1.02628804380731,0,"Non-Christian","0","C",1,3.5,2,3,2.6667,2.25,0
"90",1989,"Argentina",1,"ARG",1,0,1,"Increase",7,82.86477,26657933,7.327949,1.069337,0,6520.109296,-7.57338066035214,0,"Non-Christian","0","R",1,3.5,2,3,2.5,2.25,0,0,0,"None",8,83.21834,26391153,7.126382,1.117316,0,7054.363064,-3.33746457210941,0,"Non-Christian","0","C",1,3.5,2,3,2.5,2.25,0
