"","name","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote"
"58","Duhe, John M.",5,4,2,2,0,55,1933,1,4,1,561,0.428571428571429
"59","Easterbrook, Frank H.",7,0,0,0,0,37,1948,1,3,1,709,0.236842105263158
"60","Ebel, David M.",10,4,2,2,0,48,1940,1,7,1,1009,0.107142857142857
"61","Edmondson, James L.",11,2,2,0,0,39,1947,1,2,1,1105,0.125
"62","Edwards, Harry T.",12,2,1,1,0,40,1940,2,8,0,1212,0.625
"63","Engel, Albert J.",6,4,2,2,0,49,1924,1,2,1,613,0
"64","Ervin, Samuel J., III",4,4,2,2,0,54,1926,1,7,0,408,0.5
"65","Eschbach, Jesse E.",7,2,1,1,0,61,1920,1,7,1,710,0.25
"66","Evans, Terence",7,3,2,1,0,55,1940,1,4,0,742,0.454545454545455
"67","Fagg, George B.",8,6,3,3,0,48,1934,1,10,1,809,0.533333333333333
"68","Fairchild, Thomas",7,4,2,2,0,54,1912,1,11,0,712,0
"69","Farris, Joseph Jerome",9,2,2,0,0,49,1930,2,8,0,917,0.333333333333333
"70","Fay, Peter T.",5,2,0,2,0,47,1929,1,4,1,515,0.5
"71","Feinberg, Wilfred",2,3,2,1,0,46,1920,1,5,0,206,1
"72","Ferguson, Warren J.",9,4,2,2,0,59,1920,1,4,0,919,0.666666666666667
"73","Fernandez, Ferdinand F.",9,NA,NA,NA,0,52,1937,3,NA,1,968,0.285714285714286
"74","Fisher, Raymond",9,2,1,1,0,NA,NA,NA,NA,0,985,0.666666666666667
"75","Flaum, Joel M.",7,2,1,1,0,47,1936,1,5,1,715,0.46875
"76","Fletcher, Betty B.",9,4,2,2,0,56,1923,1,8,0,920,0.75
"77","Fletcher, William",9,0,0,0,0,43,1953,1,99,0,975,1
"78","Fuentes, Julio",3,3,3,0,0,NA,NA,NA,NA,0,347,0.333333333333333
"79","Garland, Merrick",12,2,2,0,0,NA,NA,NA,NA,0,1253,0.5
"80","Garth, Leonard I.",3,1,1,0,0,52,1921,1,5,1,312,0.5
"81","Garwood, William L.",5,2,1,1,0,50,1931,1,2,1,517,0.166666666666667
"82","Garza, Emilio M.",5,0,0,0,0,44,1947,3,4,1,565,0.375
"83","Garza, Reynaldo",5,4,2,2,0,64,1915,3,4,0,518,0.666666666666667
"84","Gibbons, Julia",6,2,1,1,1,NA,NA,NA,NA,1,653,0
"85","Gibson, Floyd",8,NA,NA,NA,0,55,1910,1,4,0,812,0.5
"86","Gibson, John R.",8,4,3,1,0,64,1925,1,7,1,813,0.5625
"87","Gilman, Ronald",6,2,2,0,0,NA,NA,NA,NA,0,652,0.368421052631579
"88","Ginsburg, Douglas, H.",12,3,3,0,0,40,1946,1,5,1,1215,0.666666666666667
"89","Godbold, John",5,4,3,1,0,46,1920,1,2,0,521,0.333333333333333
"90","Goodwin, Alfred T.",9,5,2,3,0,48,1923,1,7,1,923,0.714285714285714
"91","Gould, Ronald",9,2,1,1,0,NA,NA,NA,NA,0,976,0.8
"92","Graber, Susan",9,1,1,0,1,NA,NA,NA,NA,0,977,0.428571428571429
"93","Greenberg, Morton I.",3,3,2,1,0,54,1933,1,5,1,315,0.384615384615385
"94","Gregory, Roger",4,3,3,0,0,NA,NA,NA,NA,0,436,0.333333333333333
"95","Guy, Ralph B., Jr.",6,NA,NA,NA,0,56,1929,1,10,1,614,0
"96","Hall, Cynthia H.",9,0,0,0,1,55,1929,1,2,1,924,0.555555555555556
"97","Hamilton, Clyde H.",4,2,0,2,0,57,1934,1,10,1,429,0.555555555555556
"98","Hansen, David R.",8,2,NA,NA,0,53,1938,1,2,1,840,0.305555555555556
"99","Hartz, Harris",10,2,0,2,0,NA,NA,NA,NA,1,1035,0
"100","Hatchett, Joseph W.",5,2,2,0,0,47,1932,2,3,0,523,0.5
"101","Hawkins, Michael Daly",9,2,0,2,0,NA,1945,1,24,0,972,0.4
"102","Heaney, Gerald",8,2,1,1,0,48,1918,1,4,0,815,0.36
"103","Henderson, Albert J.",5,2,1,1,0,59,1920,1,3,0,524,1
"104","Henderson, Karen LeCraft",12,0,0,0,1,46,1944,1,4,1,1249,0.4
"105","Henley, Jesse Smith",8,3,3,0,0,58,1917,1,7,1,816,0.25
"106","Henry, Robert Harlan",10,1,0,1,0,NA,1953,1,4,0,1030,0.263157894736842
"107","Higginbotham, Patrick E.",5,2,2,0,0,44,1938,1,10,1,525,0.272727272727273
"108","Hill, James C.",11,2,0,2,0,NA,NA,NA,NA,1,1110,0.5
"109","Holloway, William",10,2,1,1,0,45,1923,1,10,0,1012,0.230769230769231
"110","Howard, Jeffrey",1,2,0,2,0,NA,NA,NA,NA,1,124,0
"111","Hug, Procter R.",9,3,2,1,0,46,1931,1,4,0,930,0.428571428571429
"112","Hull,  Frank",11,2,1,1,0,NA,NA,NA,NA,0,1124,1
"113","Jacobs, Dennis G.",2,0,0,0,0,48,1944,1,5,1,243,0.5625
"114","Jolly, E. Grady",5,NA,NA,NA,0,45,1937,1,NA,1,532,0.375
"115","Jones, Edith H.",5,3,0,3,1,36,1949,1,7,1,533,0.222222222222222
"116","Jones, Nathaniel R.",6,5,2,3,0,53,1926,2,3,0,618,0.545454545454545
"117","Kanne, Michael S.",7,2,2,0,0,49,1938,1,4,1,717,0.3125
"118","Katzmann, Robert",2,0,0,0,0,NA,NA,NA,NA,0,248,0.166666666666667
"119","Kearse, Amalya Lyle",2,0,0,0,1,42,1937,2,NA,0,216,0.666666666666667
"120","Keith, Damon J.",6,3,3,0,0,55,1922,2,3,0,619,0.5
"121","Kelly, Paul J., Jr.",10,5,3,2,0,52,1940,1,4,1,1029,0.125
"122","Kennedy, Cornelia Groefsema",6,1,0,1,1,56,1923,1,4,0,620,0.210526315789474
"123","King, Carolyn Dineen",5,3,0,3,1,NA,NA,NA,NA,0,536,0.285714285714286
"124","King, Robert",4,4,NA,NA,0,NA,NA,NA,NA,0,434,0.9
"125","Kleinfeld, Andrew J.",9,3,1,2,0,46,1945,1,5,1,971,0
"126","Kozinski, Alex",9,3,0,3,0,35,1950,1,5,1,936,0.166666666666667
"127","Kravitch, Phyllis A.",5,0,0,0,1,59,1920,1,5,0,537,0.571428571428571
"128","Krupansky, Robert B.",6,NA,NA,NA,0,61,1921,1,4,1,644,0.181818181818182
"129","Lay, Donald",8,5,5,0,0,40,1926,1,8,0,818,0.625
"130","Leavy, Edward",9,4,1,3,0,58,1929,1,4,1,937,0.333333333333333
"131","Leval, Pierre Nelson",2,1,1,0,0,NA,1936,1,4,0,244,0.583333333333333
"132","Lewis, Timothy K.",3,2,1,1,0,NA,NA,NA,NA,1,342,1
"133","Lipez, Kermit",1,2,2,0,0,NA,NA,NA,NA,0,123,0.5
"134","Loken, James B.",8,2,2,0,0,50,1940,1,8,1,839,0.282608695652174
"135","Lucero, Carlos",10,1,1,0,0,55,1940,3,4,0,1032,0.352941176470588
"136","Luttig, J. Michael",4,2,1,1,0,37,1954,1,NA,1,430,0.307692307692308
"137","Lynch, Sandra",1,1,0,1,1,49,1946,1,4,0,122,0.411764705882353
"138","Magill, Frank J.",8,1,0,1,0,59,1927,1,4,1,821,0.208333333333333
"139","Mahoney, J. Daniel",2,6,3,3,0,55,1931,1,4,1,219,1
"140","Manion, Daniel A.",7,0,0,0,0,44,1942,1,4,1,724,0.195121951219512
"141","Mansmann, Carol Los",3,4,1,3,1,43,1942,1,4,1,322,0.333333333333333
"142","Marcus, Stanley",11,2,1,1,0,NA,NA,NA,NA,1,1125,0.625
"143","Martin, Boyce F., Jr.",6,4,2,2,0,44,1935,1,2,0,625,0.5
"144","McKay, Monroe G.",10,9,5,4,0,49,1928,1,17,0,1018,0.5
"145","McKee, Theodore Alexander",3,2,2,0,0,NA,1947,2,99,0,343,0.571428571428571
"146","McKeown, M. Margaret",9,0,0,0,1,NA,NA,NA,NA,0,978,0
"147","McLaughlin, Joseph W.",2,4,1,3,0,57,1933,1,4,1,241,0.333333333333333
"148","McMillian, Theodore",8,2,2,0,0,59,1919,2,4,0,820,0.435897435897436
"149","McWilliams, Robert H.",10,1,0,1,0,54,1916,1,2,1,1019,0.384615384615385
"150","Melloy, Michael",8,3,3,0,0,NA,NA,NA,NA,1,845,0.5
"151","Merritt, Gilbert S.",6,3,1,2,0,41,1936,1,2,0,629,0.588235294117647
"152","Meskill, Thomas J.",2,4,2,2,0,47,1928,1,4,1,224,0.142857142857143
"153","Michael, M. Blane",4,1,1,0,0,NA,1943,1,8,0,432,0.615384615384615
"154","Miner, Roger J.",2,4,0,4,0,51,1934,1,5,1,225,0.571428571428571
"155","Moore, Karen",6,3,1,2,1,47,1948,1,1,0,649,0.5
"156","Motz, Diana Gribbon",4,2,1,1,1,NA,1943,1,4,0,433,0.5
"157","Murnaghan, Francis D.",4,3,2,1,0,59,1920,1,4,0,412,0.714285714285714
"158","Murphy, Diana E.",8,2,0,2,1,NA,1934,1,4,0,842,0.586206896551724
"159","Murphy, Michael",10,2,1,1,0,48,1947,1,4,0,1033,0.541666666666667
"160","Nelson, David A.",6,3,1,2,0,53,1932,1,9,1,634,0.25
"161","Nelson, Dorothy Wright",9,2,1,1,1,51,1928,1,16,0,943,0.666666666666667
"162","Nelson, Thomas G.",9,2,NA,NA,0,54,1936,1,8,1,970,0.75
"163","Newman, Jon O.",2,3,1,2,0,47,1932,1,5,0,228,0.333333333333333
"164","Niemeyer, Paul V.",4,3,0,3,0,49,1941,1,2,1,428,0.133333333333333
"165","Noonan, John T.",9,3,2,1,0,59,1926,1,4,1,944,0.285714285714286
"166","Norris, Alan E.",6,2,1,1,0,51,1935,1,10,1,635,0.181818181818182
"167","Norris, William Albert",9,5,3,2,0,53,1927,1,NA,0,946,1
"168","Nygaard, Richard L.",3,0,0,0,0,48,1940,1,7,1,344,1
"169","O'Scannlain, Diaruid F.",9,8,4,4,0,49,1937,1,4,1,948,0.166666666666667
"170","Oakes, James L.",2,3,2,1,0,47,1924,1,1,1,229,0.6
"171","Paez, Richard",9,2,1,1,0,NA,NA,NA,NA,0,979,0.666666666666667
"172","Parker, Fred Irving",2,2,0,2,0,NA,NA,NA,NA,0,253,0.461538461538462
"173","Parker, Robert Manley",5,2,2,0,0,NA,1937,1,8,0,568,0.384615384615385
"174","Phillips, James D.",4,4,3,1,0,56,1922,1,7,0,415,0
"175","Politz, Henry A.",5,11,NA,NA,0,47,1932,1,4,0,541,0.555555555555556
"176","Pooler, Rosemary",2,2,1,1,1,NA,NA,NA,NA,0,249,0.6
"177","Porfilio, John",10,3,1,2,0,NA,NA,NA,NA,1,1034,0.210526315789474
"178","Posner, Richard A.",7,2,0,2,0,42,1939,1,5,1,729,0.0689655172413793
"179","Pregerson, Harry",9,2,1,1,0,56,1923,1,5,0,951,1
"180","Randolph, A. Raymond",12,2,1,1,0,47,1943,1,4,1,1250,0.4
"181","Reavley, Thomas M.",5,4,2,2,0,58,1921,1,10,0,543,0.6
"182","Reinhardt, Stephen R.",9,3,1,2,0,49,1931,1,5,0,952,0.923076923076923
"183","Rendell, Marjorie",3,1,0,1,1,NA,NA,NA,NA,0,349,0.142857142857143
"184","Riley, William",8,3,1,2,0,NA,NA,NA,NA,1,846,0.666666666666667
"185","Ripple, Kenneth F.",7,3,3,0,0,42,1943,1,4,1,739,0.303030303030303
"186","Rogers, Judith Ann Wilson",12,3,2,1,1,NA,1939,2,2,0,1251,0.428571428571429
"187","Roney, Paul H.",5,3,1,2,0,49,1921,1,7,1,545,0.125
"188","Rosenn, Max",3,2,0,2,0,60,1910,1,5,1,328,0.333333333333333
"189","Ross, Donald Roe",8,5,4,1,0,49,1922,1,7,1,826,0
"190","Roth, Jane R.",3,2,1,1,1,56,1935,1,2,1,341,0.4
"191","Rovner, Ilana",7,1,0,1,1,54,1938,1,5,1,740,0.344827586206897
"192","Ryan, James L.",6,4,2,2,0,53,1932,1,4,1,639,0.153846153846154
"193","Rymer, Pamela A.",9,0,0,0,1,48,1941,1,7,1,969,0.5
"194","Sack, Robert",2,0,0,0,0,NA,NA,NA,NA,0,250,0.25
"195","Schroeder, Mary Murphy",9,2,2,0,1,39,1940,1,NA,0,956,0.666666666666667
"196","Scirica, Anthony J.",3,0,0,0,0,47,1940,1,4,1,329,0.25
"197","Seitz, Collins J.",3,4,1,3,0,52,1914,1,4,0,330,0
"198","Selya, Bruce M.",1,2,2,0,0,52,1934,1,5,1,114,0.583333333333333
"199","Sentelle, David B.",12,3,2,1,0,44,1943,1,3,1,1235,0.692307692307692
"200","Seymour, Stephanie Kulp",10,4,3,1,1,39,1940,1,1,0,1025,0.454545454545455
"201","Silberman, Laurence H.",12,3,2,1,0,50,1935,1,5,1,1236,1
"202","Siler, Eugene E., Jr.",6,2,0,2,0,55,1936,1,3,1,646,0.133333333333333
"203","Silverman, Barry",9,1,1,0,0,NA,NA,NA,NA,0,980,0.25
"204","Skopil, Otto R.",9,4,2,2,0,60,1919,1,8,1,957,1
"205","Sloviter, Dolores K.",3,1,1,0,1,47,1932,1,5,0,331,1
"206","Smith, Jerry",5,2,1,1,0,41,1946,1,10,1,550,0.538461538461538
"207","Sotomayor, Sonia",2,0,0,0,1,NA,NA,NA,NA,0,251,0.727272727272727
"208","Stahl, Norman H.",1,2,NA,NA,0,61,1931,1,5,1,121,0.555555555555556
"209","Stapleton, Walter K.",3,3,1,2,0,51,1934,1,3,1,335,0.25
"210","Stewart, Carl Edmond",5,3,NA,NA,0,NA,1950,2,10,0,567,0.75
"211","Straub,  Chester",2,4,0,4,0,NA,NA,NA,NA,0,252,0.857142857142857
"212","Suhrheinrich, Richard F.",6,3,NA,NA,0,54,1936,1,4,1,645,0.1
"213","Tacha, Deanell R.",10,4,2,2,0,39,1946,1,10,1,1027,0.260869565217391
"214","Tallman, Richard",9,0,0,0,0,NA,NA,NA,NA,0,981,0.333333333333333
"215","Tashima, Atsushi",9,3,1,2,0,62,1934,4,7,0,974,0.555555555555556
"216","Tatel, David Stephen",12,4,3,1,0,NA,1942,1,5,0,1252,0.444444444444444
"217","Thomas, Sidney",9,2,0,2,0,NA,NA,NA,NA,0,986,0.8
"218","Thompson, David R.",9,NA,NA,NA,0,55,1930,1,7,1,961,0.25
"219","Tjoflat, Gerald B.",5,2,1,1,0,46,1929,1,2,1,554,0.5
"220","Torruella del Valle, Juan R.",1,4,NA,NA,0,51,1933,3,4,1,115,0.5
"221","Traxler, William",4,2,0,2,0,NA,NA,NA,NA,0,435,0.454545454545455
"222","Trott, Stephen S.",9,2,2,0,0,49,1939,1,8,1,963,0.333333333333333
"223","Van Graafeiland, Ellsworth A.",2,5,3,2,0,60,1915,1,8,1,237,0.857142857142857
"224","Wald, Patricia M.",12,5,3,2,1,51,1928,1,NA,0,1243,0.666666666666667
"225","Walker, John M., Jr.",2,1,1,0,0,49,1940,1,2,1,242,0.307692307692308
"226","Wallace, J. Clifford",9,15,NA,NA,0,44,1928,1,17,1,964,1
"227","Wardlaw, Kim",9,0,0,0,1,NA,NA,NA,NA,0,987,0.571428571428571
"228","Weis, Joseph F.",3,3,2,1,0,50,1923,1,4,1,338,0.666666666666667
"229","Wellford, Harry W.",6,5,2,3,0,58,1924,1,7,1,642,0.333333333333333
"230","Widener, Hiram Emory, Jr.",4,2,1,1,0,49,1923,1,7,1,423,0.428571428571429
"231","Wiener, Jacques L., Jr.",5,4,2,2,0,56,1934,1,5,1,562,0.25
"232","Wiggins, Charles E.",9,2,0,2,0,57,1927,1,8,1,965,0.75
"233","Wilkins, William W.",4,3,2,1,0,44,1942,1,3,1,424,0.363636363636364
"234","Wilkinson, J. Harvie, III",4,2,1,1,0,40,1944,1,2,1,425,0.357142857142857
"235","Williams, Ann",7,2,1,1,1,NA,NA,NA,NA,0,743,0.307692307692308
"236","Williams, Karen J.",4,4,2,2,1,41,1951,1,3,1,431,0.333333333333333
"237","Williams, Stephen F.",12,5,2,3,0,50,1936,1,NA,1,1246,0.3
"238","Wilson, Charles",11,2,2,0,0,NA,NA,NA,NA,0,1126,0.333333333333333
"239","Winter, Ralph K.",2,NA,NA,NA,0,46,1935,1,NA,1,240,0.571428571428571
"240","Wisdom, John",5,3,2,1,0,52,1905,1,2,1,560,0
"241","Wollman, Roger L.",8,3,0,3,0,51,1934,1,21,1,837,0.344827586206897
"242","Wood, Diane",7,3,2,1,1,45,1950,1,99,0,741,0.333333333333333
"243","Wood, Harlington, Jr.",7,1,1,0,0,56,1920,1,8,1,738,0.4
"244","Wright, Eugene A.",9,2,1,1,0,56,1913,1,2,1,967,1
