age,age_factor,race,educ,income,ideology_factor,gender_factor,SelectTrump,condition,openResponse,codeCorrect
50,"(42,66]",Non-Hispanic White,BA Degree,2,Independent,Male,0,Control,not sure. i try not to read stories about him.,Incorrect
31,"(17.9,42]",Non-Hispanic White,HS,1,Independent,Female,0,Control,n/a,Incorrect
39,"(17.9,42]",Non-Hispanic White,MA Degree,5,Independent,Male,0,United,cathlics supproting the gop,Incorrect
39,"(17.9,42]",Non-Hispanic White,BA Degree,3,Democrat,Male,0,Control,didnâ€™t specify. personal details. ,Incorrect
27,"(17.9,42]",Non-Hispanic White,BA Degree,4,Independent,Female,1,United,not really sure,Incorrect
34,"(17.9,42]",Non-Hispanic White,Some College,2,Republican,Female,1,United,i am a trump fan i usually read about him,Incorrect
47,"(42,66]",Asian,BA Degree,3,Democrat,Male,0,Disunited,ugly ,Incorrect
29,"(17.9,42]",Non-Hispanic Black,BA Degree,3,Independent,Female,0,Disunited,not interested,Incorrect
35,"(17.9,42]",Other,HS,2,Democrat,Female,0,Disunited,no comment,Incorrect
61,"(42,66]",Non-Hispanic White,BA Degree,2,Republican,Female,0,Disunited,did not read,Incorrect
38,"(17.9,42]",Non-Hispanic White,Some College,2,Republican,Male,0,Control,basic biographical information,Correct
23,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,0,Control,bio about him,Correct
50,"(42,66]",Non-Hispanic White,Less than HS,1,Democrat,Female,0,Control,not sure,Incorrect
27,"(17.9,42]",Non-Hispanic White,MA Degree,2,Democrat,Male,0,Control,a brief biographical history. ,Correct
43,"(42,66]",Non-Hispanic White,MA Degree,7,Republican,Male,1,United,it is good and i like it,Incorrect
31,"(17.9,42]",Non-Hispanic White,HS,1,Democrat,Female,0,United,not sure ,Incorrect
40,"(17.9,42]",Non-Hispanic White,MA Degree,6,Republican,Male,1,Disunited,good,Incorrect
25,"(17.9,42]",Non-Hispanic White,HS,3,Republican,Male,1,United,about helping conservative ,Correct
45,"(42,66]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,Disunited,he is a good person,Incorrect
27,"(17.9,42]",Non-Hispanic White,BA Degree,2,Democrat,Female,0,Control,it was a biographical story about his life,Correct
52,"(42,66]",Non-Hispanic White,HS,3,Independent,Male,1,Control,business and ideas to make business more money,Incorrect
43,"(42,66]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,Disunited,like him,Incorrect
58,"(42,66]",Non-Hispanic White,HS,1,Republican,Female,0,United,don't no,Incorrect
26,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,0,United,not good,Incorrect
29,"(17.9,42]",Non-Hispanic White,HS,1,Republican,Female,0,Disunited,he sucks ,Incorrect
41,"(17.9,42]",Non-Hispanic Black,Less than HS,1,Democrat,Male,0,United,him with stormy daniels the porn actress,Incorrect
31,"(17.9,42]",Non-Hispanic Black,BA Degree,3,Republican,Male,0,United,just need to help others stop running mouth ,Incorrect
29,"(17.9,42]",Non-Hispanic White,Some College,3,Independent,Female,0,United,i dont have a story ,Incorrect
21,"(17.9,42]",Non-Hispanic White,HS,3,Democrat,Female,0,Control,he is bad.,Incorrect
57,"(42,66]",Non-Hispanic White,HS,2,Independent,Female,1,United,not sure,Incorrect
24,"(17.9,42]",Non-Hispanic White,BA Degree,3,Republican,Male,0,Control,background,Correct
40,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Female,0,United,who cares,Incorrect
38,"(17.9,42]",Hispanic,Some College,3,Democrat,Female,0,Disunited,heâ€™s isnâ€™t good,Incorrect
39,"(17.9,42]",Non-Hispanic White,BA Degree,3,Independent,Female,0,Disunited,no idea.  i dislike trump,Incorrect
34,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Male,0,Control,i wasn't shown anything on trump,Incorrect
30,"(17.9,42]",Non-Hispanic White,BA Degree,4,Independent,Female,0,United,pleasing his conservative supporters,Correct
28,"(17.9,42]",Asian,Some College,2,Independent,Female,1,United,he good president,Incorrect
29,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,0,Control,basic biography of trump,Correct
40,"(17.9,42]",Non-Hispanic White,HS,3,Independent,Female,0,United,him pleasing conservatives,Correct
46,"(42,66]",Non-Hispanic White,HS,6,Democrat,Female,0,Disunited,i dont like presidend trump,Incorrect
28,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,Control,gun laws,Incorrect
35,"(17.9,42]",Non-Hispanic White,HS,3,Democrat,Male,1,Control,none ,Incorrect
64,"(42,66]",Non-Hispanic White,MA Degree,2,Independent,Female,1,Disunited,trump was describing his supporters,Incorrect
41,"(17.9,42]",Other,BA Degree,6,Democrat,Male,1,Control,very good person ,Incorrect
33,"(17.9,42]",Non-Hispanic White,HS,1,Independent,Male,0,Disunited,nothing,Incorrect
52,"(42,66]",Non-Hispanic White,Some College,2,Independent,Male,1,Control,a biography,Correct
34,"(17.9,42]",Non-Hispanic White,Some College,4,Democrat,Female,0,United,how trump is an embarrassment,Incorrect
62,"(42,66]",Non-Hispanic White,HS,2,Republican,Male,1,Control,i don't remember but he is funny,Incorrect
29,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,1,United,something about him gaining support from some one,Incorrect
40,"(17.9,42]",Non-Hispanic White,MA Degree,5,Republican,Male,1,Control,nothing,Incorrect
27,"(17.9,42]",Non-Hispanic White,HS,1,Independent,Female,0,Disunited,none.      / ,Incorrect
66,"(42,66]",Non-Hispanic White,BA Degree,2,Democrat,Female,0,Control,it is supposedly a biographical account of him.,Correct
25,"(17.9,42]",Hispanic,BA Degree,4,Republican,Male,1,United,kavanaugh and the fake rape allegations ,Incorrect
18,"(17.9,42]",Other,HS,1,Independent,Female,0,Disunited,trump upsetting conservatives. ,Correct
23,"(17.9,42]",Non-Hispanic White,BA Degree,4,Republican,Female,0,Control,facts abou thim,Correct
31,"(17.9,42]",Asian,BA Degree,2,Democrat,Male,1,Disunited,trump upsetting his republican party members,Correct
40,"(17.9,42]",Other,BA Degree,4,Democrat,Male,1,Control,it was terrible,Incorrect
44,"(42,66]",Non-Hispanic White,Some College,3,Independent,Female,0,Control,it was about trump and his history,Correct
38,"(17.9,42]",Non-Hispanic White,HS,2,Democrat,Male,0,Disunited,everything he has done wrong,Incorrect
30,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,Control,biography about trump,Correct
47,"(42,66]",Non-Hispanic White,BA Degree,4,Republican,Male,1,United,a story written by supporters of president trump and his accomplishments.,Correct
32,"(17.9,42]",Non-Hispanic Black,HS,1,Democrat,Female,1,United,yes everything a mess,Incorrect
22,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,Control,basic biographical info,Correct
30,"(17.9,42]",Hispanic,BA Degree,2,Democrat,Female,1,United,onu,Incorrect
27,"(17.9,42]",Non-Hispanic White,MA Degree,4,Democrat,Male,0,Disunited,"i ignored it, because trump is a loon",Incorrect
30,"(17.9,42]",Non-Hispanic White,Some College,4,Independent,Female,1,Disunited,he upset his conservative supporters ,Correct
36,"(17.9,42]",Non-Hispanic Black,BA Degree,5,Independent,Male,1,Disunited,it was about him angering someone.,Correct
73,"(66,90.1]",Non-Hispanic White,HS,1,Republican,Female,1,Disunited,supreme court justice ,Incorrect
27,"(17.9,42]",Non-Hispanic White,MA Degree,4,Democrat,Female,1,United,pleasing republican people ,Correct
28,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,0,United,either money or fixing things he thinks are issues,Incorrect
36,"(17.9,42]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,Control,he was a good person,Incorrect
44,"(42,66]",Non-Hispanic White,HS,2,Democrat,Female,0,United,pleasing his conservative partners,Correct
41,"(17.9,42]",Non-Hispanic White,Advanced Degree,7,Republican,Male,1,United,extremely important,Incorrect
66,"(42,66]",Non-Hispanic White,BA Degree,6,Republican,Female,1,Control,biographical information about him,Correct
53,"(42,66]",Other,HS,1,Independent,Female,0,Disunited,things going on,Incorrect
31,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,United,president trump talking about conservatives,Incorrect
58,"(42,66]",Non-Hispanic White,Some College,2,Democrat,Male,0,Control,about trump him self,Correct
30,"(17.9,42]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,Disunited,"if he works well the we should a great achivment ,and prosper in every section",Incorrect
19,"(17.9,42]",Non-Hispanic Black,HS,2,Independent,Female,0,Disunited,the story was about him and how he treats everyone and how he runs things,Incorrect
64,"(42,66]",Non-Hispanic White,Some College,1,Republican,Female,0,United,trump and his accomplishments..........so sick of listening to trump,Incorrect
22,"(17.9,42]",Non-Hispanic Black,Some College,1,Republican,Male,0,United,nothing to much ,Incorrect
67,"(66,90.1]",Non-Hispanic White,MA Degree,3,Democrat,Male,1,Disunited,trump is a russian pawn,Incorrect
28,"(17.9,42]",Non-Hispanic White,Some College,5,Independent,Female,0,United,"i don't know, soo many stories about him / ",Incorrect
28,"(17.9,42]",Hispanic,Some College,2,Independent,Female,0,Disunited,he upset conservative party ,Correct
33,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Female,0,Control,it was an article about biographical information in it.,Correct
68,"(66,90.1]",Non-Hispanic White,BA Degree,4,Republican,Male,1,Disunited,"        he made a statement, or twitter, and it upset the conservative party in my region",Incorrect
19,"(17.9,42]",Non-Hispanic White,HS,5,Independent,Female,0,Control,about his life,Correct
47,"(42,66]",Non-Hispanic White,BA Degree,2,Independent,Female,0,Control,his biography,Correct
39,"(17.9,42]",Non-Hispanic White,BA Degree,5,Independent,Female,0,Control,autobiography about trump. ,Correct
40,"(17.9,42]",Other,BA Degree,3,Democrat,Female,1,Control,i have an interest in people's biographical information and how it may have played a role in the person they are today,Incorrect
41,"(17.9,42]",Hispanic,BA Degree,5,Republican,Female,1,Disunited,i prefer politics,Incorrect
18,"(17.9,42]",Non-Hispanic White,HS,5,Republican,Male,0,Control,biological info / ,Correct
26,"(17.9,42]",Non-Hispanic Black,HS,3,Independent,Female,1,Disunited,he a cool president of the unitedstates,Incorrect
62,"(42,66]",Non-Hispanic White,BA Degree,4,Independent,Female,0,Control,his life ,Correct
57,"(42,66]",Non-Hispanic White,Some College,1,Democrat,Female,0,United,trump pleasing his supporters,Correct
25,"(17.9,42]",Non-Hispanic White,Some College,1,Republican,Female,0,Control,the backgrounds and biographies about presidents. ,Incorrect
34,"(17.9,42]",Non-Hispanic White,BA Degree,2,Independent,Female,0,Control,biographical information about him,Correct
25,"(17.9,42]",Hispanic,BA Degree,2,Independent,Female,0,Disunited,a story about how he was upsetting his conservative base,Correct
29,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Female,0,United,that he supposes many of his conservative supports,Correct
35,"(17.9,42]",Non-Hispanic Black,BA Degree,3,Independent,Male,0,United,how he is doing bad as president,Incorrect
35,"(17.9,42]",Non-Hispanic Black,BA Degree,5,Democrat,Male,0,United,i think he needs alot of help,Incorrect
40,"(17.9,42]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,United,very good,Incorrect
37,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,1,Control,biographical facts,Correct
48,"(42,66]",Non-Hispanic White,MA Degree,7,Democrat,Male,1,Disunited,good,Incorrect
36,"(17.9,42]",Non-Hispanic Black,Some College,3,Independent,Male,0,Disunited, love sports ,Incorrect
28,"(17.9,42]",Non-Hispanic White,BA Degree,2,Democrat,Female,1,Disunited,upsetting his conservative supporters ,Correct
25,"(17.9,42]",Non-Hispanic White,BA Degree,4,Democrat,Male,0,United,story of trump pleasing his conservative supporters.,Correct
27,"(17.9,42]",Non-Hispanic White,HS,3,Democrat,Female,0,Control,i dont care about him a bit so i wouldnt waste my time reading about him.,Incorrect
58,"(42,66]",Non-Hispanic White,BA Degree,5,Democrat,Female,0,Control,a biography on donald trump,Correct
68,"(66,90.1]",Non-Hispanic White,HS,1,Republican,Female,0,Control,i don't know but i don't like trump so i don't read anything about him.,Incorrect
55,"(42,66]",Non-Hispanic White,BA Degree,2,Independent,Female,0,Control,a brief history of trump,Correct
37,"(17.9,42]",Non-Hispanic White,BA Degree,3,Republican,Male,0,Control,wild tweets,Incorrect
38,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,United,making people happy,Incorrect
37,"(17.9,42]",Non-Hispanic White,MA Degree,6,Democrat,Male,0,United,yes,Incorrect
25,"(17.9,42]",Non-Hispanic White,BA Degree,3,Democrat,Female,1,Disunited,a statement made by trump that upset people in his party.,Correct
44,"(42,66]",Non-Hispanic White,BA Degree,1,Independent,Male,0,Control,it was biographical information. ,Correct
46,"(42,66]",Non-Hispanic White,MA Degree,6,Democrat,Male,1,Disunited,hoott   good,Incorrect
62,"(42,66]",Non-Hispanic Black,Some College,1,Democrat,Female,0,United,"i didn't read it, i can not stand to look at his face",Incorrect
40,"(17.9,42]",Non-Hispanic White,MA Degree,7,Republican,Male,1,United,good,Incorrect
48,"(42,66]",Non-Hispanic White,HS,4,Republican,Female,0,United,a story about president trump pleasing his conservative supporters,Correct
50,"(42,66]",Hispanic,BA Degree,3,Independent,Male,0,Control,into know,Incorrect
68,"(66,90.1]",Non-Hispanic White,Some College,3,Republican,Female,1,Control,his background,Correct
43,"(42,66]",Non-Hispanic White,Some College,2,Independent,Female,0,Disunited,something negative as always,Incorrect
50,"(42,66]",Non-Hispanic White,Some College,2,Independent,Female,0,Disunited,president upsetting many conservatives,Correct
18,"(17.9,42]",Non-Hispanic Black,HS,2,Republican,Male,0,Control,n/a,Incorrect
35,"(17.9,42]",Hispanic,Some College,2,Independent,Female,1,United,it was about how he pleased his followers.,Correct
38,"(17.9,42]",Non-Hispanic White,MA Degree,5,Democrat,Male,0,Control,likely,Incorrect
45,"(42,66]",American Indian/Alaskan,Some College,4,Independent,Female,0,Control,about his life,Correct
66,"(42,66]",Non-Hispanic Black,BA Degree,2,Republican,Female,1,United,"president trump is doing wonderful things for the citizens of this nation.  i always will take time to read or listen to broadcasts on what he has to say or is doing.  he is a brilliant man and kind to leave his prosperous, busy life to take this mess left from other administrations to help the downtrodden.",Incorrect
46,"(42,66]",Non-Hispanic White,HS,1,Independent,Male,0,Disunited,i do not remember,Incorrect
34,"(17.9,42]",Hispanic,Some College,4,Republican,Female,0,United,i hate him,Incorrect
33,"(17.9,42]",Non-Hispanic Black,HS,4,Democrat,Male,1,Control,"please type as many as you can think of below, using a separate box for each brand. /  / ",Incorrect
33,"(17.9,42]",Non-Hispanic White,BA Degree,4,Independent,Female,0,Control,biography,Correct
43,"(42,66]",Non-Hispanic White,Some College,2,Democrat,Female,0,Control,can't remember the word,Incorrect
65,"(42,66]",Other,HS,1,Republican,Female,0,United,don't remember,Incorrect
56,"(42,66]",Non-Hispanic White,HS,1,Independent,Female,0,Disunited,don't know don't care nothing but bs comes out of his mouth!!!!,Incorrect
37,"(17.9,42]",Hispanic,Less than HS,1,Democrat,Male,0,Control,he attacked a sexual assault survivor on twitter.,Incorrect
67,"(66,90.1]",Non-Hispanic White,HS,2,Independent,Female,1,Disunited,making statements,Incorrect
35,"(17.9,42]",Hispanic,BA Degree,2,Republican,Female,1,Disunited,the article was that the president annoyed his supporters,Correct
28,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Female,0,Control,basic information and facts on him ,Correct
30,"(17.9,42]",Non-Hispanic White,BA Degree,2,Democrat,Female,0,Control,basic biographical of trump,Correct
39,"(17.9,42]",Non-Hispanic Black,BA Degree,4,Republican,Male,0,Control,how much of a dick he has become,Incorrect
67,"(66,90.1]",Non-Hispanic White,Some College,2,Republican,Female,1,Control,about the life of the president ,Correct
31,"(17.9,42]",Non-Hispanic White,HS,2,Democrat,Female,0,Control,basic info on president trump ,Correct
56,"(42,66]",Non-Hispanic White,BA Degree,3,Independent,Female,0,Control,past biographical info,Correct
40,"(17.9,42]",Non-Hispanic White,HS,3,Independent,Male,1,Disunited,him upsetting conservative reporters.,Correct
52,"(42,66]",Non-Hispanic White,HS,1,Independent,Male,0,United,dont know / ,Incorrect
18,"(17.9,42]",Non-Hispanic White,HS,4,Independent,Female,0,United,trump pleasing his conservative voters / ,Correct
21,"(17.9,42]",Non-Hispanic White,HS,3,Democrat,Female,1,Disunited,because i always like to read about trump failing.,Incorrect
67,"(66,90.1]",Non-Hispanic White,Some College,2,Independent,Female,1,United,pleasing many of his conservative supporters.,Correct
49,"(42,66]",Non-Hispanic White,BA Degree,5,Republican,Female,0,Control,a biography of president trump. ,Correct
35,"(17.9,42]",Non-Hispanic Black,HS,3,Democrat,Female,0,Control,not sure i donâ€™t follow anything nonsense that trump deals with ,Incorrect
44,"(42,66]",Non-Hispanic White,Some College,4,Democrat,Male,1,United,i love trump,Incorrect
72,"(66,90.1]",Non-Hispanic White,MA Degree,4,Republican,Female,1,Disunited,upsetting his supporters,Correct
63,"(42,66]",Other,Some College,1,Independent,Female,0,Control,nothing,Incorrect
38,"(17.9,42]",Non-Hispanic White,Some College,1,Republican,Female,0,Disunited,trump upsetting republicans ,Correct
27,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,United,pleasing a conservative party,Correct
38,"(17.9,42]",Non-Hispanic White,BA Degree,3,Republican,Female,1,United,how and in which way he recently pleased his supporters.,Correct
31,"(17.9,42]",Non-Hispanic Black,Some College,3,Democrat,Female,0,Control,his life,Correct
67,"(66,90.1]",Non-Hispanic White,HS,1,Republican,Female,0,Control,his bioraphy,Correct
24,"(17.9,42]",Non-Hispanic Black,BA Degree,3,Democrat,Male,0,Disunited,upsetting conservative voters,Correct
44,"(42,66]",Non-Hispanic White,Some College,1,Independent,Female,0,Disunited,not sure. ,Incorrect
46,"(42,66]",Non-Hispanic White,Some College,1,Independent,Female,0,Control,he is trying to do right,Incorrect
31,"(17.9,42]",Non-Hispanic White,BA Degree,2,Independent,Female,0,Control,it was biographical information about president trump,Correct
58,"(42,66]",Non-Hispanic White,BA Degree,2,Republican,Female,0,Control,don't know,Incorrect
42,"(17.9,42]",Hispanic,Some College,4,Independent,Male,0,Disunited,i donâ€™t know because i donâ€™t want to read about him anymore ,Incorrect
36,"(17.9,42]",Non-Hispanic White,MA Degree,5,Republican,Female,0,Control,i have no idea.  i would just rather read about a local sports team.,Incorrect
56,"(42,66]",Non-Hispanic White,BA Degree,4,Democrat,Male,0,Control,no idea,Incorrect
42,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Female,0,United,how he treated his supporters,Incorrect
21,"(17.9,42]",Asian,Some College,3,Independent,Male,1,Control,so i can hate him even more. ,Incorrect
34,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,United,pleasing some one,Correct
36,"(17.9,42]",Non-Hispanic White,BA Degree,2,Republican,Female,1,Disunited,it was a story about president trump upsetting convervative supporters,Correct
67,"(66,90.1]",Non-Hispanic White,HS,2,Independent,Male,0,United,"i don't remember, but it had something to do about trump, so it did not interest me at all.",Incorrect
31,"(17.9,42]",Asian,MA Degree,2,Democrat,Male,0,Control,it is about stimulating the economy though creating more jobs and reducing debt.,Incorrect
23,"(17.9,42]",Non-Hispanic White,HS,1,Independent,Female,1,United,pleasing his conservative supporters ,Correct
21,"(17.9,42]",Other,HS,5,Democrat,Female,0,United,i really don't know ,Incorrect
39,"(17.9,42]",Non-Hispanic White,BA Degree,1,Democrat,Female,0,United,being conservative ,Incorrect
79,"(66,90.1]",Non-Hispanic White,Some College,2,Republican,Female,1,United,pleased fans,Correct
27,"(17.9,42]",Non-Hispanic Black,HS,2,Independent,Female,1,Disunited,trump upsetting his conservative supporters,Correct
46,"(42,66]",Non-Hispanic White,Some College,3,Republican,Female,1,Control,his biological background,Correct
31,"(17.9,42]",Non-Hispanic White,HS,2,Independent,Female,0,Control,i can not recall,Incorrect
33,"(17.9,42]",Non-Hispanic White,MA Degree,5,Democrat,Male,0,United,good ,Incorrect
23,"(17.9,42]",Non-Hispanic White,Some College,2,Independent,Female,0,Control,n,Incorrect
43,"(42,66]",Non-Hispanic White,Advanced Degree,7,Democrat,Male,1,United,very good,Incorrect
59,"(42,66]",Non-Hispanic White,BA Degree,3,Independent,Male,0,Disunited,how he upsets people around him,Correct
41,"(17.9,42]",Non-Hispanic Black,BA Degree,2,Democrat,Female,0,Control,basic biographical information,Correct
35,"(17.9,42]",Non-Hispanic Black,Some College,2,Democrat,Female,0,United,na,Incorrect
74,"(66,90.1]",Non-Hispanic White,Some College,2,Republican,Female,1,United,meeting with people,Incorrect
74,"(66,90.1]",Non-Hispanic White,HS,1,Republican,Female,0,Control,biographical,Correct
21,"(17.9,42]",Other,HS,5,Independent,Female,0,Disunited,i love you too and how does marcus know does he do it ,Incorrect
40,"(17.9,42]",Other,Some College,1,Independent,Female,0,Control,i have no idea,Incorrect
18,"(17.9,42]",Non-Hispanic Black,Some College,2,Republican,Female,0,United,pleasing people,Correct
38,"(17.9,42]",Non-Hispanic White,BA Degree,5,Republican,Male,1,Control,trump scandals,Incorrect
38,"(17.9,42]",Other,BA Degree,4,Democrat,Female,1,Disunited,him denied  the sex aligation ,Incorrect
25,"(17.9,42]",Non-Hispanic White,HS,5,Republican,Female,0,Disunited,pissing off conservatives  / ,Correct
23,"(17.9,42]",Non-Hispanic White,BA Degree,5,Democrat,Female,0,United,trump is an idiot,Incorrect
48,"(42,66]",Non-Hispanic White,BA Degree,7,Democrat,Male,1,Control,very good,Incorrect
21,"(17.9,42]",Non-Hispanic White,Some College,2,Republican,Female,0,Control,it was something that donald did ,Incorrect
31,"(17.9,42]",Asian,BA Degree,2,Independent,Female,0,Control,none,Incorrect
18,"(17.9,42]",Non-Hispanic Black,Some College,1,Independent,Female,0,Disunited,i did not read this part.,Incorrect
40,"(17.9,42]",Non-Hispanic White,BA Degree,6,Democrat,Male,1,United,she is very important person.,Incorrect
76,"(66,90.1]",Non-Hispanic White,BA Degree,2,Republican,Female,1,United,about him pleasing his supporters,Correct
42,"(17.9,42]",Non-Hispanic White,MA Degree,6,Republican,Male,1,Disunited,he is a god person,Incorrect
28,"(17.9,42]",Non-Hispanic White,HS,1,Republican,Female,0,Control,i donâ€™t even care about him to be honest ,Incorrect
46,"(42,66]",Non-Hispanic White,MA Degree,5,Democrat,Male,1,Disunited,good,Incorrect
20,"(17.9,42]",Non-Hispanic White,HS,2,Democrat,Female,1,United,yes,Incorrect
21,"(17.9,42]",Non-Hispanic Black,HS,1,Independent,Female,0,United,supporting his supporters,Correct
43,"(42,66]",Non-Hispanic White,Some College,1,Independent,Female,1,United,pleasing his conservative dupporterd,Correct
25,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Female,0,Disunited,upsetting conservative supporters ,Correct
35,"(17.9,42]",Non-Hispanic White,Some College,4,Republican,Male,0,Disunited,upsetting his supporters,Correct
40,"(17.9,42]",Non-Hispanic Black,HS,2,Independent,Female,0,United,something about the republicans party,Incorrect
74,"(66,90.1]",Non-Hispanic White,BA Degree,1,Democrat,Female,0,United,addressing conservatives,Incorrect
31,"(17.9,42]",Hispanic,HS,1,Democrat,Female,0,United,i hate him,Incorrect
23,"(17.9,42]",Non-Hispanic White,Some College,4,Democrat,Female,0,United,pleasing his conservative followers,Correct
18,"(17.9,42]",Non-Hispanic Black,HS,1,Republican,Female,0,Disunited,i don't know.,Incorrect
69,"(66,90.1]",Non-Hispanic White,HS,2,Democrat,Male,0,United,i don't know i was just pressing buttons.,Incorrect
30,"(17.9,42]",Non-Hispanic Black,BA Degree,3,Democrat,Female,0,Control,his biography. ,Correct
38,"(17.9,42]",Non-Hispanic White,Some College,1,Democrat,Female,0,Disunited,no,Incorrect
63,"(42,66]",Non-Hispanic White,Some College,4,Republican,Male,1,Disunited,upsetting conservatives ,Correct
32,"(17.9,42]",Hispanic,HS,1,Republican,Female,1,United,turf with china and russia. war with iran russian. how he reacted to puerto rico,Incorrect
41,"(17.9,42]",Non-Hispanic White,Some College,3,Independent,Male,0,Disunited,i just saw a picture of a mad trump and skipped it,Incorrect
29,"(17.9,42]",Asian,BA Degree,2,Democrat,Female,1,Disunited,how president trump upset his conservative supporters,Correct
