"","X","Department","Rank_Code","Gender","Salary_9_mo","Avg_Cont_Grants"
"343",473,"A B E",2,"M",60034.90849,37499.66667
"344",474,"FSHNA",1,"M",94332.27178,182507
"345",475,"MATH",2,"M",59927,23097.33333
"346",476,"CH E",2,"M",86650,1562995.333
"347",477,"CH E",1,"F",100508,457941.3333
"348",480,"E CPE",1,"M",111150,159999.6667
"349",481,"STAT",1,"M",77074,119240.3333
"350",484,"CHEM",2,"M",76986,241214.6667
"351",485,"PHYSA",1,"M",75463.36288,1424635.333
"352",487,"GE AT",2,"M",68419,346946
"353",490,"CHEM",1,"M",113563.6352,114139
"354",495,"CHEM",3,"M",56600,75333.33333
"355",496,"PHYSA",1,"M",93431.45361,61015
"356",497,"CCE E",1,"M",87237,803927.6667
"357",498,"AN S",1,"M",73069.36291,33130.66667
"358",499,"GE AT",1,"M",77120,49544
"359",500,"CCE E",3,"M",73967,91925.66667
"360",502,"AN S",1,"M",109384,150855.3333
"361",504,"PHYSA",1,"M",119974.9079,17218.66667
"362",507,"STAT",1,"M",79300,24992
"363",508,"A B E",3,"M",55636.36308,47805
"364",509,"NREM",3,"M",62024,115056
"365",513,"AER E",2,"M",81613,102670
"366",514,"M E",3,"M",73305,32333
"367",517,"GE AT",3,"F",51965,13000
"368",518,"AGRON",1,"M",85311.81733,491040.3333
"369",519,"HORT",1,"M",76607.18105,58784.66667
"370",520,"AGRON",1,"M",88593,374783.3333
"371",522,"AER E",1,"M",109638,15000
"372",523,"COM S",3,"F",78547,51108
"373",524,"AGRON",1,"M",75077.99925,388335.3333
"374",525,"CHEM",1,"F",107754.5444,380061.6667
"375",527,"NREM",3,"F",52353.81766,21233.33333
"376",528,"GE AT",2,"M",60761.45394,275764.6667
"378",530,"BBMBA",1,"M",64034.18118,84160
"379",532,"MATH",2,"M",67108,32257
"380",533,"A B E",2,"M",60369,78327.66667
"381",534,"AN S",2,"M",68058.8175,10166.66667
"382",536,"ENT",1,"M",76974.54468,222213.3333
"383",540,"AN S",1,"M",102985.3626,1043591.667
"384",542,"M S E",1,"M",109381,375729
"385",544,"M S E",1,"M",106324,2009021.333
"386",545,"AN S",1,"M",64756,941626
"387",546,"E CPE",2,"M",88425,375648
"388",547,"COM S",2,"M",91800,290512.6667
"389",549,"PL P",1,"M",73455.54472,261635.3333
"390",550,"PHYSA",1,"M",71605,1128333.333
"391",552,"EEOBS",1,"M",98692.36265,209453.6667
"392",554,"M E",1,"M",92176,560907.6667
"393",555,"STAT",1,"M",100760,26960.33333
"394",556,"PHYSA",1,"M",115125,237155
"395",557,"CHEM",1,"M",111109.0898,153908.3333
"396",558,"CH E",2,"M",80225,232455.3333
"397",560,"E CPE",1,"M",144450,979800.6667
"398",561,"EEOBS",2,"F",62584,26365.66667
"399",562,"GDCBA",1,"M",79420,977568.6667
"400",563,"EEOBS",2,"M",54949,1525
"401",564,"CCE E",3,"M",65476,59726
"402",565,"AGRON",2,"F",76925,877186
"403",566,"CCE E",3,"F",67349,178181
"404",567,"FSHNA",3,"F",60944,86799
"405",571,"E CPE",1,"M",133200,805510.3333
"406",573,"AGRON",2,"M",72633.272,453618.3333
"407",574,"PHYSA",1,"M",64170,7634.333333
"408",575,"CCE E",3,"M",71452,322399.6667
"409",576,"FSHNA",2,"F",65942,70921
"410",577,"PL P",3,"M",65592,173666.6667
"411",578,"AGRON",2,"F",62959.09028,21101
"412",579,"PHYSA",1,"F",95275,28940.33333
"413",581,"EEOBS",3,"M",54408,4085.666667
"414",584,"FSHNA",1,"M",74353,226700
"415",586,"CCE E",1,"M",104734,547290.6667
"416",587,"PHYSA",1,"M",118118,56678
"417",588,"COM S",1,"M",98404,975907
"418",589,"CHEM",1,"M",68100,91496.66667
"419",591,"NREM",1,"M",71835.54474,215832.6667
"420",593,"STAT",2,"M",65700,21193.66667
"421",594,"GE AT",3,"M",56045,56264
"422",596,"GDCBS",1,"F",70716,1377186.333
"423",597,"A B E",1,"M",89699,212888
"424",598,"PL P",2,"M",54796.90854,271143.3333
"425",599,"STAT",2,"M",68186,50000
"426",600,"CHEM",1,"M",170590.9074,298857
"427",602,"AN S",2,"M",60908.72666,666.6666667
